발전량,월,평균 기온,최저 기온,최고 기온,최대 순간풍속,최대 순간 풍속 풍향,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최다 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최저 해면기압,평균 해면기압,가조시간,합계 일조 시간,평균 지면온도,최저 초상온도
404685.70889041096,6.526027397260274,11.509784735812133,6.477338551859099,17.04477495107632,7.90720156555773,219.79647749510764,4.524227005870841,218.08414872798434,1337.1412915851272,1.7159295499021525,1482.3649706457925,200.25636007827788,3.8206066536203522,38.87162426614481,63.95702544031312,10.79706457925636,990.6861448140901,1019.1637964774951,1013.0324266144814,1016.0912915851272,12.20238747553816,6.612583170254403,13.650293542074364,4.174853228962818
661071.8053616439,6.526027397260274,11.329902152641878,6.368590998043053,16.91577299412916,7.888532289628181,210.36399217221134,4.505048923679061,205.19569471624266,1329.4502935420744,1.7582974559686888,1518.7203522504892,186.68688845401175,3.9683561643835614,39.91917808219178,65.06821917808219,11.046634050880627,991.1931506849315,1019.672602739726,1013.6308219178082,1016.6325831702544,12.202367906066536,6.568825831702544,13.41825831702544,3.896340508806262
866213.6238520547,6.526027397260274,12.072367906066537,7.050313111545988,17.735459882583168,7.519491193737768,209.58317025440314,4.302759295499021,203.0665362035225,1320.250880626223,1.6173189823874756,1397.5326810176125,189.81409001956948,4.705949119373777,40.10371819960861,65.55446183953033,11.194735812133072,990.7093542074364,1019.1559882583169,1013.0357338551859,1016.0913307240705,12.201976516634051,6.407279843444227,13.89365949119374,4.198277886497065
1122990.347453552,6.5136612021857925,11.742505854800937,6.982884465261515,17.178629976580797,7.843813427010148,206.96526151444183,4.367037470725996,200.17954722872756,1327.9769711163153,1.6730288836846214,1444.7531225604996,188.08743169398906,5.123224043715847,43.66978922716628,68.25240046838407,11.368306010928961,990.8276346604215,1019.3277322404372,1013.1333723653396,1016.2326112412179,12.19473067915691,6.180503512880563,13.990573770491803,4.440202966432475
1539029.3587287671,6.526027397260274,11.948982387475539,7.132367906066537,17.47614481409002,7.696594911937377,200.14285714285714,4.1689823874755385,195.4050880626223,1334.9696673189824,1.5903913894324853,1374.0383561643835,185.54011741682976,5.552837573385519,44.05401174168298,68.9486301369863,11.834755381604696,990.9905088062623,1019.4874755381604,1013.2285714285714,1016.3788845401174,12.202367906066536,6.092211350293542,13.919021526418787,4.917847358121331
283573.08276164386,6.526027397260274,11.81972602739726,6.363945205479452,18.138465753424654,7.169315068493151,239.82465753424657,4.159890410958904,237.15068493150685,1416.7139726027397,1.5728219178082192,1358.7309589041097,205.55068493150685,4.395123287671233,38.15397260273973,64.7850410958904,11.279945205479454,1009.5232328767123,1019.4507397260275,1014.1429589041095,1016.793589041096,12.201205479452055,6.817698630136986,14.515506849315068,4.296383561643835
404595.1068657534,6.526027397260274,11.82082191780822,6.503561643835616,18.158191780821916,6.892328767123288,231.55616438356165,4.033260273972602,227.8904109589041,1399.9298630136987,1.5727671232876714,1357.784109589041,194.3068493150685,4.723342465753425,38.63780821917808,65.84739726027398,11.697808219178082,1009.8221917808219,1019.8415342465754,1014.7253150684932,1017.2517808219178,12.201917808219179,6.914630136986302,14.074794520547945,4.450739726027398
488703.1708986301,6.526027397260274,12.376054794520547,6.933095890410959,18.59621917808219,6.897479452054794,230.61917808219178,3.9038356164383563,228.48767123287672,1406.9857534246576,1.4375342465753425,1243.4449315068493,202.83287671232875,5.812054794520548,41.148493150684935,68.63791780821917,12.074520547945205,1009.362191780822,1019.4758904109589,1014.1896438356165,1016.8223561643836,12.201753424657534,6.607561643835616,14.401643835616438,4.327890410958904
637286.1149945356,6.5136612021857925,12.1951912568306,7.224863387978142,17.975628415300548,7.236010928961749,234.81420765027323,3.92896174863388,229.18579234972677,1409.02131147541,1.4627868852459016,1263.2530054644808,202.54644808743168,6.858142076502732,47.1792349726776,73.43491803278688,12.657322404371586,1009.5756284153005,1019.815300546448,1014.4865573770492,1017.115956284153,12.194262295081968,6.304972677595629,14.266994535519125,4.13551912568306
839112.389550685,6.526027397260274,12.532712328767124,7.43254794520548,18.441917808219177,7.049698630136986,219.56712328767122,3.810082191780822,216.1917808219178,1378.6975342465753,1.3933150684931508,1203.38301369863,185.47397260273974,7.1906849315068495,46.644383561643835,73.25736986301371,13.04186301369863,1009.5328767123287,1019.8541917808219,1014.2921643835616,1017.0654246575342,12.201315068493152,6.307616438356164,14.56186301369863,4.778520547945205
527868.011079452,6.526027397260274,14.259948630136988,9.157465753424658,20.21220890410959,7.514743150684931,213.5291095890411,4.388150684931507,214.54965753424656,1348.5811643835616,1.7387671232876711,1502.0294520547945,207.57876712328766,6.747636986301369,39.56404109589041,64.85470890410959,12.859280821917809,1008.5419691780821,1019.0510616438356,1013.6213013698631,1016.2733390410958,12.192722602739726,6.949520547945205,16.504811643835616,6.355393835616439
636949.9780136986,6.526027397260274,14.072534246575344,9.234537671232877,19.787311643835615,7.281729452054795,201.21746575342465,4.240565068493151,207.6986301369863,1335.1676369863014,1.699845890410959,1468.9258561643835,204.513698630137,7.3222431506849315,43.19417808219178,68.02888698630137,13.37849315068493,1008.7779452054795,1019.2483219178082,1013.8854794520548,1016.5284075342466,12.193253424657534,6.5717123287671235,16.07263698630137,6.393921232876712
