지역,일시,발전량,년,월,평균 기온,평균 이슬점온도,평균 상대습도,가조시간,합계 일조 시간,일강수량,평균 풍속,계절
강원도,2017-04-06,210241.731,2017,4,13.071428571428571,8.564285714285715,76.85000000000001,12.8,5.0,6.257142857142857,2.3000000000000003,봄
강원도,2017-04-07,533967.664,2017,4,14.19285714285714,7.271428571428571,67.42142857142856,12.87857142857143,9.964285714285714,0.0,1.4142857142857144,봄
강원도,2017-04-08,505112.105,2017,4,15.078571428571427,7.314285714285715,64.58571428571429,12.9,8.692857142857143,0.0285714285714285,1.407142857142857,봄
강원도,2017-04-09,272399.195,2017,4,11.05714285714286,3.042857142857143,61.75714285714286,12.921428571428573,4.128571428571428,3.192857142857143,2.1214285714285714,봄
강원도,2017-04-10,612605.0599999999,2017,4,11.435714285714283,-3.271428571428572,43.76428571428572,13.0,10.978571428571428,0.0,2.15,봄
강원도,2017-04-11,421166.668,2017,4,11.892857142857142,2.835714285714286,59.135714285714286,13.0,7.235714285714286,3.921428571428572,1.792857142857143,봄
강원도,2017-04-12,628026.493,2017,4,10.821428571428571,-7.057142857142857,33.778571428571425,13.078571428571427,11.364285714285714,0.0142857142857142,2.8428571428571425,봄
강원도,2017-04-13,560470.375,2017,4,12.12857142857143,-2.95,38.66428571428571,13.1,10.835714285714284,0.0,2.628571428571429,봄
강원도,2017-04-14,390515.809,2017,4,13.857142857142858,1.821428571428572,50.71428571428572,13.114285714285714,6.392857142857143,2.9714285714285715,3.2928571428571423,봄
강원도,2017-04-15,528374.05,2017,4,16.985714285714284,5.5,52.10714285714285,13.2,9.1,0.0,2.571428571428572,봄
강원도,2017-04-16,435758.708,2017,4,18.65714285714285,4.878571428571428,45.41428571428571,13.2,6.157142857142857,0.0,1.85,봄
강원도,2017-04-17,61863.33500000001,2017,4,12.542857142857144,7.264285714285714,73.50714285714285,13.257142857142856,0.5642857142857143,13.335714285714284,1.9928571428571429,봄
강원도,2017-04-18,239050.868,2017,4,11.278571428571428,6.971428571428572,77.02142857142857,13.3,4.635714285714285,8.685714285714285,2.25,봄
강원도,2017-04-19,637883.8779999999,2017,4,12.385714285714286,-0.0428571428571428,45.92142857142857,13.30714285714286,11.62142857142857,0.0,3.142857142857143,봄
강원도,2017-04-20,282778.301,2017,4,12.542857142857144,2.085714285714286,51.26428571428571,13.385714285714286,3.664285714285714,0.1428571428571428,1.7142857142857142,봄
강원도,2017-04-21,576272.071,2017,4,11.714285714285714,3.142857142857143,61.06428571428571,13.4,9.057142857142855,0.4571428571428571,1.842857142857143,봄
강원도,2017-04-22,609766.596,2017,4,12.25,2.1357142857142857,56.73571428571428,13.421428571428573,10.778571428571428,0.4928571428571429,1.4857142857142858,봄
강원도,2017-04-23,703083.824,2017,4,14.385714285714286,-0.3714285714285715,42.364285714285714,13.492857142857144,11.69285714285714,0.0,2.2785714285714285,봄
강원도,2017-04-24,677425.1049999999,2017,4,15.142857142857142,-1.1285714285714286,37.48571428571428,13.5,11.30714285714286,0.0,2.6,봄
강원도,2017-04-25,490063.352,2017,4,16.29285714285714,3.8857142857142857,45.521428571428565,13.55714285714286,7.821428571428571,0.0,2.807142857142857,봄
강원도,2017-04-26,645662.028,2017,4,13.542857142857144,-1.0285714285714287,41.87142857142857,13.6,10.80714285714286,0.0142857142857142,2.157142857142857,봄
강원도,2017-04-27,614599.511,2017,4,11.80714285714286,-3.0285714285714285,39.77857142857143,13.607142857142858,11.135714285714286,0.0,2.321428571428572,봄
강원도,2017-04-28,635075.0109999999,2017,4,14.714285714285714,-0.5214285714285715,40.15714285714286,13.657142857142857,9.5,0.0,3.0500000000000003,봄
강원도,2017-04-29,685344.648,2017,4,16.257142857142856,0.4928571428571429,41.32142857142857,13.7,11.69285714285714,0.0071428571428571,2.585714285714286,봄
강원도,2017-04-30,594225.433,2017,4,19.542857142857144,5.678571428571429,44.5,13.714285714285714,9.428571428571429,0.0,2.992857142857143,봄
강원도,2017-05-01,698146.135,2017,5,16.835714285714285,2.6,43.771428571428565,13.764285714285714,11.842857142857143,0.0,1.7857142857142858,봄
강원도,2017-05-02,606595.124,2017,5,16.37142857142857,5.007142857142857,52.82142857142857,13.8,10.835714285714284,0.0,1.35,봄
강원도,2017-05-03,683211.101,2017,5,17.964285714285715,5.607142857142857,51.65,13.821428571428571,11.37142857142857,0.0,1.3,봄
