지역,일시,발전량,년,월,평균 기온,평균 이슬점온도,평균 상대습도,가조시간,합계 일조 시간,일강수량,평균 풍속,계절,실효습도
강원도,2017-01-02,104640.902,2017,1,4.235714285714286,-1.0,71.20714285714286,9.635714285714286,4.157142857142857,0.0285714285714285,2.0,겨울,54.839204357142854
강원도,2017-01-05,109151.179,2017,1,1.5785714285714287,-2.092857142857143,78.45714285714287,9.678571428571429,0.8928571428571429,4.392857142857143,1.4642857142857142,겨울,57.731675357142855
강원도,2017-01-06,277486.341,2017,1,2.857142857142857,-1.342857142857143,76.10714285714286,9.685714285714283,7.221428571428571,0.2071428571428571,0.9785714285714286,겨울,59.67342835714287
강원도,2017-01-07,229365.225,2017,1,2.4,-2.107142857142857,74.60000000000001,9.707142857142856,6.792857142857143,0.0357142857142857,1.0,겨울,60.56106450000001
강원도,2017-01-08,184832.572,2017,1,4.914285714285714,1.35,79.48571428571428,9.714285714285714,2.3000000000000003,1.4785714285714284,1.2785714285714285,겨울,63.3064782857143
강원도,2017-01-09,237155.964,2017,1,3.35,-4.792857142857143,57.58571428571429,9.735714285714286,6.9,0.2071428571428571,2.4785714285714286,겨울,58.41660728571429
강원도,2017-01-12,267098.968,2017,1,-1.3857142857142857,-14.885714285714286,40.31428571428571,9.792857142857144,7.807142857142857,0.0071428571428571,3.4,겨울,36.91101171428571
강원도,2017-01-13,200601.80900000004,2017,1,-4.957142857142857,-16.821428571428573,40.771428571428565,9.80714285714286,5.864285714285714,0.0499999999999999,2.9857142857142853,겨울,34.061387571428575
강원도,2017-01-20,27179.082,2017,1,-3.2357142857142853,-7.7,73.03571428571429,9.985714285714286,1.35,8.014285714285714,1.7642857142857142,겨울,52.64561228571428
강원도,2017-01-21,77521.87299999999,2017,1,-5.328571428571428,-10.135714285714286,70.60714285714286,10.007142857142856,6.4071428571428575,0.1142857142857143,1.9785714285714289,겨울,55.19825035714287
강원도,2017-01-22,256489.588,2017,1,-6.771428571428571,-16.9,46.021428571428565,10.028571428571428,8.585714285714285,0.2714285714285714,2.942857142857143,겨울,49.88993957142857
강원도,2017-01-26,266402.361,2017,1,-2.7,-12.614285714285714,50.92857142857143,10.135714285714286,6.092857142857143,0.1714285714285714,2.0571428571428574,겨울,42.38089992857143
강원도,2017-01-27,363493.892,2017,1,-0.5071428571428572,-11.0,49.142857142857146,10.178571428571429,8.528571428571428,2.557142857142857,3.1,겨울,42.08904064285716
강원도,2017-01-29,31418.137,2017,1,0.9714285714285714,-3.507142857142857,74.89285714285714,10.228571428571428,0.1857142857142857,4.842857142857143,0.6142857142857142,겨울,50.01774214285715
강원도,2017-01-30,54319.297,2017,1,-2.45,-6.45,74.98571428571428,10.278571428571428,2.757142857142857,3.664285714285714,1.8928571428571428,겨울,54.904249285714286
강원도,2017-01-31,132779.284,2017,1,-5.4,-12.65,60.97857142857144,10.3,7.028571428571429,0.3571428571428571,1.4714285714285715,겨울,54.15867642857143
강원도,2017-02-05,110510.318,2017,2,2.5285714285714285,-3.378571428571429,66.76428571428572,10.485714285714286,1.4428571428571428,0.1999999999999999,1.6,겨울,49.092538714285716
강원도,2017-02-16,421374.16,2017,2,6.55,-4.614285714285714,50.74285714285714,10.87857142857143,8.15,0.0499999999999999,2.9,겨울,42.85429714285714
강원도,2017-02-17,410889.492,2017,2,4.935714285714285,-4.128571428571428,55.72857142857144,10.9,7.228571428571429,2.642857142857143,2.95,겨울,44.101890428571444
강원도,2017-02-19,239509.12,2017,2,1.157142857142857,-6.435714285714285,60.6,10.992857142857144,2.9,1.2,2.2785714285714285,겨울,43.6094865
강원도,2017-02-20,415036.222,2017,2,1.2928571428571427,-7.207142857142857,56.99285714285714,11.0,8.464285714285714,2.4642857142857144,2.957142857142857,겨울,45.241385142857155
강원도,2017-02-22,68394.167,2017,2,1.7142857142857142,-2.157142857142857,77.60000000000001,11.1,0.1714285714285714,4.814285714285715,0.9071428571428573,겨울,52.1634345
강원도,2017-02-23,372219.462,2017,2,0.7,-7.471428571428571,56.95,11.107142857142858,7.1000000000000005,0.0142857142857142,2.4714285714285715,겨울,51.53178300000001
강원도,2017-03-01,186445.631,2017,3,5.021428571428571,-2.792857142857143,60.94285714285714,11.392857142857142,0.8785714285714287,0.8857142857142858,1.2,봄,47.363619642857145
강원도,2017-03-02,107241.486,2017,3,2.257142857142857,-0.8928571428571429,80.97857142857143,11.4,0.9642857142857144,4.628571428571428,1.5714285714285714,봄,54.896442428571426
강원도,2017-03-05,325546.452,2017,3,4.7,-2.2785714285714285,64.87857142857142,11.5,5.842857142857143,0.5928571428571429,1.4142857142857144,봄,52.61373042857142
강원도,2017-03-06,446921.264,2017,3,1.4214285714285717,-10.328571428571427,45.35,11.6,8.928571428571429,0.8642857142857142,3.0142857142857147,봄,47.361811499999995
강원도,2017-03-08,468505.307,2017,3,-0.2071428571428571,-10.992857142857144,46.35714285714285,11.657142857142857,8.95,0.0571428571428571,3.0142857142857147,봄,38.291954357142856
강원도,2017-03-12,286323.289,2017,3,7.792857142857143,-3.571428571428572,47.5,11.8,2.128571428571429,0.0642857142857143,1.5142857142857142,봄,36.603750000000005
강원도,2017-03-14,280433.092,2017,3,2.2785714285714285,-3.6714285714285713,68.42142857142856,11.9,4.364285714285715,2.5928571428571425,1.6285714285714286,봄,46.31739407142858
강원도,2017-03-21,197221.173,2017,3,4.592857142857143,-1.342857142857143,67.39285714285714,12.2,2.914285714285714,3.05,1.6214285714285714,봄,42.886038642857145
강원도,2017-03-23,369226.846,2017,3,6.1000000000000005,-3.4,55.5,12.278571428571428,6.171428571428572,0.15,1.592857142857143,봄,44.734137000000004
강원도,2017-03-25,114253.491,2017,3,4.257142857142857,1.1857142857142855,81.64285714285714,12.3,0.5571428571428572,2.9857142857142853,1.2714285714285716,봄,55.499229642857145
강원도,2017-03-26,228189.18400000004,2017,3,4.964285714285714,1.7357142857142858,81.33571428571429,12.4,2.657142857142857,1.8642857142857143,1.2285714285714284,봄,59.85215978571428
강원도,2017-03-27,188012.369,2017,3,4.6000000000000005,0.4642857142857143,76.67857142857143,12.4,1.2642857142857142,1.1785714285714286,1.5857142857142856,봄,62.35058142857143
강원도,2017-03-31,73553.469,2017,3,6.0,3.307142857142857,84.25,12.6,0.2642857142857143,8.107142857142858,1.5285714285714285,봄,56.31957750000001
강원도,2017-04-01,207533.19,2017,4,5.342857142857143,2.7785714285714285,84.85714285714286,12.6,2.378571428571429,5.207142857142857,1.1928571428571428,봄,61.01463685714287
