,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220711,1호선,서울역,46309,45502
1,20220711,1호선,시청,23460,23939
2,20220711,1호선,종각,38293,37796
3,20220711,1호선,종로3가,26288,24204
4,20220711,1호선,종로5가,23018,22893
5,20220711,1호선,동대문,11009,10566
6,20220711,1호선,신설동,14129,13681
7,20220711,1호선,제기동,16884,17249
8,20220711,1호선,청량리(서울시립대입구),19615,19512
9,20220711,1호선,동묘앞,7440,7673
10,20220711,2호선,시청,24418,23784
11,20220711,2호선,을지로입구,39390,40792
12,20220711,2호선,을지로3가,24052,24503
13,20220711,2호선,을지로4가,13350,13574
14,20220711,2호선,동대문역사문화공원(DDP),12387,14354
15,20220711,2호선,신당,13974,14273
16,20220711,2호선,상왕십리,14733,14388
17,20220711,2호선,왕십리(성동구청),16082,13328
18,20220711,2호선,한양대,9191,9871
19,20220711,2호선,뚝섬,22419,24238
20,20220711,2호선,성수,38361,41393
21,20220711,2호선,건대입구,33908,36428
22,20220711,2호선,구의(광진구청),23953,23822
23,20220711,2호선,강변(동서울터미널),32278,30194
24,20220711,2호선,잠실나루,15429,15187
25,20220711,2호선,잠실(송파구청),70266,70799
26,20220711,2호선,잠실새내,22079,21929
27,20220711,2호선,종합운동장,7337,8158
28,20220711,2호선,삼성(무역센터),52666,53470
29,20220711,2호선,선릉,62105,54965
30,20220711,2호선,역삼,58423,65302
31,20220711,2호선,강남,88595,85799
32,20220711,2호선,교대(법원.검찰청),35835,40830
33,20220711,2호선,서초,23370,22336
34,20220711,2호선,방배,16705,17448
35,20220711,2호선,사당,36446,38424
36,20220711,2호선,낙성대(강감찬),28025,27491
37,20220711,2호선,서울대입구(관악구청),47782,47363
38,20220711,2호선,봉천,24498,23170
39,20220711,2호선,신림,58717,56574
40,20220711,2호선,신대방,25895,25113
41,20220711,2호선,구로디지털단지,62259,62572
42,20220711,2호선,대림(구로구청),24706,25189
43,20220711,2호선,신도림,47048,45907
44,20220711,2호선,문래,22982,23807
45,20220711,2호선,영등포구청,23356,24115
46,20220711,2호선,당산,18173,21867
47,20220711,2호선,합정,30293,32171
48,20220711,2호선,홍대입구,55597,58626
49,20220711,2호선,신촌,35558,36324
50,20220711,2호선,이대,14108,15210
51,20220711,2호선,아현,10646,10049
52,20220711,2호선,충정로(경기대입구),10499,11039
53,20220711,2호선,용답,2883,2765
54,20220711,2호선,신답,1731,2045
55,20220711,2호선,신설동,3424,3404
56,20220711,2호선,도림천,1560,1647
57,20220711,2호선,양천구청,7192,7433
58,20220711,2호선,신정네거리,10617,10838
59,20220711,2호선,용두(동대문구청),2447,2444
60,20220711,3호선,지축,5557,5270
61,20220711,3호선,구파발,21967,21212
62,20220711,3호선,연신내,36940,35139
63,20220711,3호선,불광,16302,17385
64,20220711,3호선,녹번,16080,14636
65,20220711,3호선,홍제,18049,17076
66,20220711,3호선,무악재,4087,4149
67,20220711,3호선,독립문,6960,7026
68,20220711,3호선,경복궁(정부서울청사),20973,21172
69,20220711,3호선,안국,22789,22891
70,20220711,3호선,종로3가,10434,11893
71,20220711,3호선,을지로3가,11168,11143
72,20220711,3호선,충무로,1,0
73,20220711,3호선,동대입구,7533,7988
74,20220711,3호선,약수,13433,13149
75,20220711,3호선,금호,8077,7522
76,20220711,3호선,옥수,9105,9460
77,20220711,3호선,압구정,34065,36323
78,20220711,3호선,신사,29541,31024
79,20220711,3호선,잠원,5035,4915
80,20220711,3호선,고속터미널,42728,40186
81,20220711,3호선,교대(법원.검찰청),15337,10069
82,20220711,3호선,남부터미널(예술의전당),29275,29899
83,20220711,3호선,양재(서초구청),39016,42726
84,20220711,3호선,매봉,13369,12975
85,20220711,3호선,도곡,5700,5765
86,20220711,3호선,대치,11649,11896
87,20220711,3호선,학여울,1901,1933
88,20220711,3호선,대청,11053,10280
89,20220711,3호선,일원,11284,10963
90,20220711,3호선,수서,17582,18111
91,20220711,3호선,가락시장,9307,9117
92,20220711,3호선,경찰병원,7926,7911
93,20220711,3호선,오금,6563,5886
94,20220711,4호선,당고개,9101,7961
95,20220711,4호선,상계,19467,18000
96,20220711,4호선,노원,18091,20416
97,20220711,4호선,창동,25453,27109
98,20220711,4호선,쌍문,28952,27030
99,20220711,4호선,수유(강북구청),33594,33679
100,20220711,4호선,미아(서울사이버대학),15170,14668
101,20220711,4호선,미아사거리,26545,25824
102,20220711,4호선,길음,20737,20558
103,20220711,4호선,성신여대입구(돈암),19307,18603
104,20220711,4호선,한성대입구(삼선교),13094,12788
105,20220711,4호선,혜화,31243,31206
106,20220711,4호선,동대문,21453,21655
107,20220711,4호선,동대문역사문화공원(DDP),15694,13782
108,20220711,4호선,충무로,27021,28222
