,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220716,1호선,서울역,39140,38213
1,20220716,1호선,시청,25899,29437
2,20220716,1호선,종각,23186,21761
3,20220716,1호선,종로3가,23982,22923
4,20220716,1호선,종로5가,19928,20018
5,20220716,1호선,동대문,10340,10049
6,20220716,1호선,신설동,9917,9574
7,20220716,1호선,제기동,15104,15122
8,20220716,1호선,청량리(서울시립대입구),18183,18568
9,20220716,1호선,동묘앞,9980,10103
10,20220716,2호선,시청,21679,19706
11,20220716,2호선,을지로입구,28396,25978
12,20220716,2호선,을지로3가,13328,12818
13,20220716,2호선,을지로4가,7713,7883
14,20220716,2호선,동대문역사문화공원(DDP),11374,13292
15,20220716,2호선,신당,11022,11508
16,20220716,2호선,상왕십리,10074,9307
17,20220716,2호선,왕십리(성동구청),13549,11920
18,20220716,2호선,한양대,4009,4185
19,20220716,2호선,뚝섬,14226,14318
20,20220716,2호선,성수,22101,25234
21,20220716,2호선,건대입구,34521,38682
22,20220716,2호선,구의(광진구청),16887,16455
23,20220716,2호선,강변(동서울터미널),29477,28845
24,20220716,2호선,잠실나루,7787,7679
25,20220716,2호선,잠실(송파구청),72338,68774
26,20220716,2호선,잠실새내,18892,20899
27,20220716,2호선,종합운동장,39703,45635
28,20220716,2호선,삼성(무역센터),36882,36089
29,20220716,2호선,선릉,26015,23169
30,20220716,2호선,역삼,18880,20764
31,20220716,2호선,강남,62348,62448
32,20220716,2호선,교대(법원.검찰청),18941,21343
33,20220716,2호선,서초,12747,10707
34,20220716,2호선,방배,10020,10187
35,20220716,2호선,사당,34062,38903
36,20220716,2호선,낙성대(강감찬),22511,20592
37,20220716,2호선,서울대입구(관악구청),38713,37310
38,20220716,2호선,봉천,18676,16555
39,20220716,2호선,신림,50242,47444
40,20220716,2호선,신대방,20489,19356
41,20220716,2호선,구로디지털단지,35876,34687
42,20220716,2호선,대림(구로구청),18720,19823
43,20220716,2호선,신도림,39698,40404
44,20220716,2호선,문래,13258,14184
45,20220716,2호선,영등포구청,12431,12887
46,20220716,2호선,당산,13024,13979
47,20220716,2호선,합정,28898,33582
48,20220716,2호선,홍대입구,71624,81710
49,20220716,2호선,신촌,33421,34179
50,20220716,2호선,이대,11172,11474
51,20220716,2호선,아현,8197,7518
52,20220716,2호선,충정로(경기대입구),6152,6158
53,20220716,2호선,용답,2188,2036
54,20220716,2호선,신답,1092,1124
55,20220716,2호선,신설동,3514,3344
56,20220716,2호선,도림천,829,764
57,20220716,2호선,양천구청,4623,4596
58,20220716,2호선,신정네거리,7969,7812
59,20220716,2호선,용두(동대문구청),1860,1793
60,20220716,3호선,지축,3875,3591
61,20220716,3호선,구파발,16712,17227
62,20220716,3호선,연신내,29893,27607
63,20220716,3호선,불광,13067,14699
64,20220716,3호선,녹번,11077,9377
65,20220716,3호선,홍제,13442,12646
66,20220716,3호선,무악재,2686,2711
67,20220716,3호선,독립문,5865,5826
68,20220716,3호선,경복궁(정부서울청사),20201,21761
69,20220716,3호선,안국,19097,19099
70,20220716,3호선,종로3가,6735,9600
71,20220716,3호선,을지로3가,5778,6146
72,20220716,3호선,동대입구,6286,6870
73,20220716,3호선,약수,9452,9091
74,20220716,3호선,금호,6113,5460
75,20220716,3호선,옥수,6932,7006
76,20220716,3호선,압구정,26286,27768
77,20220716,3호선,신사,24145,26063
78,20220716,3호선,잠원,3747,3546
79,20220716,3호선,고속터미널,54662,54504
80,20220716,3호선,교대(법원.검찰청),7839,4782
81,20220716,3호선,남부터미널(예술의전당),22900,22627
82,20220716,3호선,양재(서초구청),20292,22657
83,20220716,3호선,매봉,6743,6475
84,20220716,3호선,도곡,3375,3364
85,20220716,3호선,대치,11851,10462
86,20220716,3호선,학여울,2745,2856
87,20220716,3호선,대청,6149,5655
88,20220716,3호선,일원,5011,4878
89,20220716,3호선,수서,13904,13919
90,20220716,3호선,가락시장,6161,5817
91,20220716,3호선,경찰병원,4058,3915
92,20220716,3호선,오금,3701,3518
93,20220716,4호선,당고개,7460,7035
94,20220716,4호선,상계,14031,12805
95,20220716,4호선,노원,15741,18027
96,20220716,4호선,창동,19910,20892
97,20220716,4호선,쌍문,21923,19529
98,20220716,4호선,수유(강북구청),26797,26354
99,20220716,4호선,미아(서울사이버대학),11019,10039
100,20220716,4호선,미아사거리,22308,21391
101,20220716,4호선,길음,15416,14534
102,20220716,4호선,성신여대입구(돈암),16719,15834
103,20220716,4호선,한성대입구(삼선교),10581,10193
104,20220716,4호선,혜화,31215,32659
105,20220716,4호선,동대문,14251,14630
106,20220716,4호선,동대문역사문화공원(DDP),12676,10990
107,20220716,4호선,충무로,12850,13934
108,20220716,4호선,명동,17331,18647
109,20220716,4호선,회현(남대문시장),20629,19879
110,20220716,4호선,서울역,7254,16133
111,20220716,4호선,숙대입구(갈월),11187,10365
112,20220716,4호선,삼각지,4274,5396
113,20220716,4호선,신용산,12450,13527
114,20220716,4호선,이촌(국립중앙박물관),8689,9493
115,20220716,4호선,동작(현충원),1184,1218
116,20220716,4호선,총신대입구(이수),14838,16007
117,20220716,4호선,사당,23267,20448
118,20220716,4호선,남태령,1268,858
119,20220716,5호선,방화,4739,4471
120,20220716,5호선,개화산,3816,3556
121,20220716,5호선,김포공항,7979,8224
122,20220716,5호선,송정,5268,4822
123,20220716,5호선,마곡,5733,5809
124,20220716,5호선,발산,12957,14341
125,20220716,5호선,우장산,10402,9926
126,20220716,5호선,화곡,20838,18698
127,20220716,5호선,까치산,21784,20268
128,20220716,5호선,신정(은행정),9450,7707
129,20220716,5호선,목동,11544,11532
130,20220716,5호선,오목교(목동운동장앞),17043,17371
131,20220716,5호선,양평,3955,3611
132,20220716,5호선,영등포구청,2052,1936
133,20220716,5호선,영등포시장,8209,8390
134,20220716,5호선,신길,2860,2896
135,20220716,5호선,여의도,11798,12905
136,20220716,5호선,여의나루,10860,12389
137,20220716,5호선,마포,7722,7658
138,20220716,5호선,공덕,7400,7785
139,20220716,5호선,애오개,4394,4233
140,20220716,5호선,충정로(경기대입구),2165,1976
141,20220716,5호선,서대문,8028,7423
142,20220716,5호선,광화문(세종문화회관),18890,18861
143,20220716,5호선,종로3가,13548,13339
144,20220716,5호선,을지로4가,3409,3734
145,20220716,5호선,동대문역사문화공원(DDP),1167,1400
146,20220716,5호선,청구,2550,2430
147,20220716,5호선,신금호,4163,4266
148,20220716,5호선,행당,5738,5116
149,20220716,5호선,왕십리(성동구청),3395,4370
150,20220716,5호선,마장,3809,3556
151,20220716,5호선,답십리,10662,9631
152,20220716,5호선,장한평,11506,11128
153,20220716,5호선,군자(능동),8620,9751
154,20220716,5호선,아차산(어린이대공원후문),11593,10746
155,20220716,5호선,광나루(장신대),10403,9925
156,20220716,5호선,천호(풍납토성),16556,15913
157,20220716,5호선,강동,13420,12710
158,20220716,5호선,길동,6162,6265
159,20220716,5호선,굽은다리(강동구민회관앞),7623,7219
160,20220716,5호선,명일,6224,6160
161,20220716,5호선,고덕,6654,6360
162,20220716,5호선,상일동,9541,8662
163,20220716,5호선,둔촌동,5763,5825
164,20220716,5호선,올림픽공원(한국체대),3325,2617
165,20220716,5호선,방이,5316,5179
166,20220716,5호선,오금,2045,1894
167,20220716,5호선,개롱,4374,4540
168,20220716,5호선,거여,6610,6179
169,20220716,5호선,마천,4784,4853
170,20220716,5호선,강일,3132,2925
171,20220716,5호선,미사,12369,12202
172,20220716,5호선,하남풍산,2827,2870
173,20220716,5호선,하남시청(덕풍·신장),5734,5424
174,20220716,5호선,하남검단산,5381,5281
175,20220716,6호선,응암,13180,12860
176,20220716,6호선,역촌,2908,3078
177,20220716,6호선,불광,3908,3643
178,20220716,6호선,독바위,2104,2308
179,20220716,6호선,연신내,1,0
180,20220716,6호선,구산,5790,4347
181,20220716,6호선,새절(신사),9002,8335
182,20220716,6호선,증산(명지대앞),7582,7127
183,20220716,6호선,디지털미디어시티,7969,8021
184,20220716,6호선,월드컵경기장(성산),7806,8065
185,20220716,6호선,마포구청,9791,8382
186,20220716,6호선,망원,12256,13587
187,20220716,6호선,합정,13298,12355
188,20220716,6호선,상수,9041,11747
189,20220716,6호선,광흥창(서강),5465,5009
190,20220716,6호선,대흥(서강대앞),6017,6122
191,20220716,6호선,공덕,10601,9773
192,20220716,6호선,효창공원앞,4754,4260
193,20220716,6호선,삼각지,7266,4713
194,20220716,6호선,녹사평(용산구청),5396,6435
195,20220716,6호선,이태원,15452,20938
196,20220716,6호선,한강진,9808,11945
197,20220716,6호선,버티고개,1495,1559
198,20220716,6호선,약수,2688,2741
199,20220716,6호선,청구,2577,2425
200,20220716,6호선,신당,5157,4910
201,20220716,6호선,동묘앞,7417,7157
202,20220716,6호선,창신,2208,1842
203,20220716,6호선,보문,5369,4668
204,20220716,6호선,안암(고대병원앞),6420,6277
205,20220716,6호선,고려대(종암),5559,5165
206,20220716,6호선,월곡(동덕여대),7399,7074
207,20220716,6호선,상월곡(한국과학기술연구원),4231,3634
208,20220716,6호선,돌곶이,6370,5825
209,20220716,6호선,석계,8796,8722
210,20220716,6호선,태릉입구,4268,4471
211,20220716,6호선,화랑대(서울여대입구),6905,5736
212,20220716,6호선,봉화산(서울의료원),5459,5244
213,20220716,7호선,장암,2034,1411
214,20220716,7호선,도봉산,6447,8331
215,20220716,7호선,수락산,10276,10118
216,20220716,7호선,마들,9107,8397
217,20220716,7호선,노원,16642,17122
218,20220716,7호선,중계,9619,8364
219,20220716,7호선,하계,12407,11349
220,20220716,7호선,공릉(서울과학기술대),8535,8126
221,20220716,7호선,태릉입구,6675,6282
222,20220716,7호선,먹골,7909,7422
223,20220716,7호선,중화,7740,7315
224,20220716,7호선,상봉(시외버스터미널),13493,12853
225,20220716,7호선,면목,10924,10221
226,20220716,7호선,사가정,12016,11689
227,20220716,7호선,용마산(용마폭포공원),4187,4091
228,20220716,7호선,중곡,6999,6293
229,20220716,7호선,군자(능동),11087,8348
230,20220716,7호선,어린이대공원(세종대),10642,10130
231,20220716,7호선,건대입구,11323,11931
232,20220716,7호선,뚝섬유원지,7567,7027
233,20220716,7호선,청담,11404,12467
234,20220716,7호선,강남구청,9913,10922
235,20220716,7호선,학동,10955,11381
236,20220716,7호선,논현,10383,11147
237,20220716,7호선,반포,4743,4535
238,20220716,7호선,고속터미널,16044,12215
239,20220716,7호선,내방,8227,8176
240,20220716,7호선,이수,12971,12354
241,20220716,7호선,남성,8127,7368
242,20220716,7호선,숭실대입구(살피재),8497,8322
243,20220716,7호선,상도,8064,7263
244,20220716,7호선,장승배기,6989,6574
245,20220716,7호선,신대방삼거리,11328,10404
