,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220712,1호선,서울역,46923,46024
1,20220712,1호선,시청,25155,25451
2,20220712,1호선,종각,39419,39011
3,20220712,1호선,종로3가,26951,24697
4,20220712,1호선,종로5가,24573,24549
5,20220712,1호선,동대문,11382,10718
6,20220712,1호선,신설동,14246,14050
7,20220712,1호선,제기동,18130,18413
8,20220712,1호선,청량리(서울시립대입구),20685,20896
9,20220712,1호선,동묘앞,8225,8615
10,20220712,2호선,시청,25987,25653
11,20220712,2호선,을지로입구,45266,46953
12,20220712,2호선,을지로3가,25189,25182
13,20220712,2호선,을지로4가,14292,14238
14,20220712,2호선,동대문역사문화공원(DDP),13052,14774
15,20220712,2호선,신당,14785,15158
16,20220712,2호선,상왕십리,15278,15065
17,20220712,2호선,왕십리(성동구청),16931,13992
18,20220712,2호선,한양대,9093,9844
19,20220712,2호선,뚝섬,24154,26159
20,20220712,2호선,성수,40623,44196
21,20220712,2호선,건대입구,35740,38632
22,20220712,2호선,구의(광진구청),25130,24651
23,20220712,2호선,강변(동서울터미널),31622,29845
24,20220712,2호선,잠실나루,15875,15578
25,20220712,2호선,잠실(송파구청),76380,75782
26,20220712,2호선,잠실새내,23245,23342
27,20220712,2호선,종합운동장,15548,16734
28,20220712,2호선,삼성(무역센터),57573,58602
29,20220712,2호선,선릉,64965,57556
30,20220712,2호선,역삼,59774,67706
31,20220712,2호선,강남,92818,89754
32,20220712,2호선,교대(법원.검찰청),37653,42704
33,20220712,2호선,서초,23907,23173
34,20220712,2호선,방배,17623,18608
35,20220712,2호선,사당,40571,43449
36,20220712,2호선,낙성대(강감찬),29247,28737
37,20220712,2호선,서울대입구(관악구청),48892,48125
38,20220712,2호선,봉천,25309,23635
39,20220712,2호선,신림,60760,58497
40,20220712,2호선,신대방,26862,26027
41,20220712,2호선,구로디지털단지,64089,64462
42,20220712,2호선,대림(구로구청),25050,25747
43,20220712,2호선,신도림,49691,49155
44,20220712,2호선,문래,24276,24747
45,20220712,2호선,영등포구청,24138,24644
46,20220712,2호선,당산,19408,22991
47,20220712,2호선,합정,32484,34615
48,20220712,2호선,홍대입구,59262,62630
49,20220712,2호선,신촌,37244,37685
50,20220712,2호선,이대,14464,15407
51,20220712,2호선,아현,11406,10671
52,20220712,2호선,충정로(경기대입구),10534,11392
53,20220712,2호선,용답,2911,2747
54,20220712,2호선,신답,1791,2009
55,20220712,2호선,신설동,3352,3357
56,20220712,2호선,도림천,1577,1683
57,20220712,2호선,양천구청,7286,7665
58,20220712,2호선,신정네거리,11112,11269
59,20220712,2호선,용두(동대문구청),2537,2548
60,20220712,3호선,지축,5833,5490
61,20220712,3호선,구파발,22455,21754
62,20220712,3호선,연신내,38228,35917
63,20220712,3호선,불광,16995,18335
64,20220712,3호선,녹번,16424,14688
65,20220712,3호선,홍제,18204,17088
66,20220712,3호선,무악재,4248,4155
67,20220712,3호선,독립문,7313,7545
68,20220712,3호선,경복궁(정부서울청사),20895,20789
69,20220712,3호선,안국,23947,24892
70,20220712,3호선,종로3가,10627,12355
71,20220712,3호선,을지로3가,11584,11617
72,20220712,3호선,충무로,2,0
73,20220712,3호선,동대입구,8188,8586
74,20220712,3호선,약수,13778,13303
75,20220712,3호선,금호,8416,7870
76,20220712,3호선,옥수,9504,9845
77,20220712,3호선,압구정,35131,37541
78,20220712,3호선,신사,30916,32883
79,20220712,3호선,잠원,5267,4986
80,20220712,3호선,고속터미널,42374,40004
81,20220712,3호선,교대(법원.검찰청),15967,10373
82,20220712,3호선,남부터미널(예술의전당),30763,31225
83,20220712,3호선,양재(서초구청),40014,43537
84,20220712,3호선,매봉,13613,13088
85,20220712,3호선,도곡,5747,5794
86,20220712,3호선,대치,12034,12264
87,20220712,3호선,학여울,1918,1930
88,20220712,3호선,대청,11240,10497
89,20220712,3호선,일원,11428,11170
90,20220712,3호선,수서,17983,18054
91,20220712,3호선,가락시장,9649,9401
92,20220712,3호선,경찰병원,7989,8063
93,20220712,3호선,오금,6783,6071
94,20220712,4호선,당고개,9575,8574
95,20220712,4호선,상계,20330,18774
96,20220712,4호선,노원,19092,21826
97,20220712,4호선,창동,26444,27881
98,20220712,4호선,쌍문,29824,27850
99,20220712,4호선,수유(강북구청),34830,34970
100,20220712,4호선,미아(서울사이버대학),15622,14949
101,20220712,4호선,미아사거리,28603,27882
102,20220712,4호선,길음,21950,21458
103,20220712,4호선,성신여대입구(돈암),20426,19681
104,20220712,4호선,한성대입구(삼선교),13479,13089
105,20220712,4호선,혜화,34266,34360
106,20220712,4호선,동대문,21546,22109
107,20220712,4호선,동대문역사문화공원(DDP),15916,14111
108,20220712,4호선,충무로,27396,28930
109,20220712,4호선,명동,21415,21830
110,20220712,4호선,회현(남대문시장),27121,28558
111,20220712,4호선,서울역,12475,17713
112,20220712,4호선,숙대입구(갈월),13912,13346
113,20220712,4호선,삼각지,5616,6252
114,20220712,4호선,신용산,18995,19825
115,20220712,4호선,이촌(국립중앙박물관),9464,10188
116,20220712,4호선,동작(현충원),1371,1486
117,20220712,4호선,총신대입구(이수),19950,21413
118,20220712,4호선,사당,26302,21747
119,20220712,4호선,남태령,1298,1827
120,20220712,5호선,방화,7330,7040
121,20220712,5호선,개화산,6136,5795
122,20220712,5호선,김포공항,7792,7630
123,20220712,5호선,송정,6945,6452
124,20220712,5호선,마곡,11636,11850
125,20220712,5호선,발산,22354,23150
126,20220712,5호선,우장산,15892,15484
127,20220712,5호선,화곡,30063,28037
128,20220712,5호선,까치산,30512,28718
129,20220712,5호선,신정(은행정),14728,12093
130,20220712,5호선,목동,17956,19272
131,20220712,5호선,오목교(목동운동장앞),23193,24767
132,20220712,5호선,양평,8075,7998
133,20220712,5호선,영등포구청,4383,4556
134,20220712,5호선,영등포시장,10789,11169
135,20220712,5호선,신길,4550,4754
136,20220712,5호선,여의도,31544,33742
137,20220712,5호선,여의나루,11906,13432
138,20220712,5호선,마포,15287,15815
139,20220712,5호선,공덕,15841,16601
140,20220712,5호선,애오개,7446,7381
141,20220712,5호선,충정로(경기대입구),4913,4949
142,20220712,5호선,서대문,21291,21649
143,20220712,5호선,광화문(세종문화회관),32719,34478
144,20220712,5호선,종로3가,13096,13144
145,20220712,5호선,을지로4가,6667,6756
