,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220720,1호선,서울역,48149,46822
1,20220720,1호선,시청,25469,26079
2,20220720,1호선,종각,40874,39934
3,20220720,1호선,종로3가,26587,24767
4,20220720,1호선,종로5가,24035,23644
5,20220720,1호선,동대문,11302,10735
6,20220720,1호선,신설동,14218,14102
7,20220720,1호선,제기동,17152,17256
8,20220720,1호선,청량리(서울시립대입구),20096,20031
9,20220720,1호선,동묘앞,8017,8393
10,20220720,2호선,시청,26480,25705
11,20220720,2호선,을지로입구,45365,46429
12,20220720,2호선,을지로3가,25817,25872
13,20220720,2호선,을지로4가,14312,14256
14,20220720,2호선,동대문역사문화공원(DDP),13008,14957
15,20220720,2호선,신당,14568,15171
16,20220720,2호선,상왕십리,15010,14823
17,20220720,2호선,왕십리(성동구청),16836,14019
18,20220720,2호선,한양대,8044,8301
19,20220720,2호선,뚝섬,24410,26176
20,20220720,2호선,성수,41585,44898
21,20220720,2호선,건대입구,36150,38769
22,20220720,2호선,구의(광진구청),24845,24642
23,20220720,2호선,강변(동서울터미널),32194,28914
24,20220720,2호선,잠실나루,15574,15109
25,20220720,2호선,잠실(송파구청),77679,76988
26,20220720,2호선,잠실새내,22631,22480
27,20220720,2호선,종합운동장,7899,8200
28,20220720,2호선,삼성(무역센터),58592,59420
29,20220720,2호선,선릉,63922,56655
30,20220720,2호선,역삼,58920,66032
31,20220720,2호선,강남,91246,88251
32,20220720,2호선,교대(법원.검찰청),37533,42154
33,20220720,2호선,서초,23657,22905
34,20220720,2호선,방배,17129,18026
35,20220720,2호선,사당,40244,43538
36,20220720,2호선,낙성대(강감찬),29007,28116
37,20220720,2호선,서울대입구(관악구청),49021,47927
38,20220720,2호선,봉천,25347,23470
39,20220720,2호선,신림,61007,59039
40,20220720,2호선,신대방,26625,26084
41,20220720,2호선,구로디지털단지,62962,63008
42,20220720,2호선,대림(구로구청),24516,25074
43,20220720,2호선,신도림,50567,50252
44,20220720,2호선,문래,23859,24432
45,20220720,2호선,영등포구청,23627,24141
46,20220720,2호선,당산,19258,22780
47,20220720,2호선,합정,32224,34525
48,20220720,2호선,홍대입구,61032,64760
49,20220720,2호선,신촌,36190,36914
50,20220720,2호선,이대,14287,15498
51,20220720,2호선,아현,10943,10319
52,20220720,2호선,충정로(경기대입구),10720,11374
53,20220720,2호선,용답,2805,2695
54,20220720,2호선,신답,1816,2062
55,20220720,2호선,신설동,3531,3547
56,20220720,2호선,도림천,1442,1489
57,20220720,2호선,양천구청,7235,7552
58,20220720,2호선,신정네거리,10911,11273
59,20220720,2호선,용두(동대문구청),2447,2553
60,20220720,3호선,지축,5398,5267
61,20220720,3호선,구파발,22327,21586
62,20220720,3호선,연신내,38100,36073
63,20220720,3호선,불광,16893,18274
64,20220720,3호선,녹번,16407,14795
65,20220720,3호선,홍제,18187,17094
66,20220720,3호선,무악재,4212,4137
67,20220720,3호선,독립문,7298,7521
68,20220720,3호선,경복궁(정부서울청사),22557,22569
69,20220720,3호선,안국,24350,25350
70,20220720,3호선,종로3가,10900,12538
71,20220720,3호선,을지로3가,11815,11813
72,20220720,3호선,충무로,1,0
73,20220720,3호선,동대입구,8078,8667
74,20220720,3호선,약수,13492,13066
75,20220720,3호선,금호,8318,7613
76,20220720,3호선,옥수,9599,9853
77,20220720,3호선,압구정,34142,36439
78,20220720,3호선,신사,30356,32158
79,20220720,3호선,잠원,5146,4970
80,20220720,3호선,고속터미널,43627,41742
81,20220720,3호선,교대(법원.검찰청),16048,10425
82,20220720,3호선,남부터미널(예술의전당),31358,31977
83,20220720,3호선,양재(서초구청),40094,43982
84,20220720,3호선,매봉,13699,13113
85,20220720,3호선,도곡,5580,5691
86,20220720,3호선,대치,12260,12533
87,20220720,3호선,학여울,1904,1851
88,20220720,3호선,대청,11061,10257
89,20220720,3호선,일원,11464,10929
90,20220720,3호선,수서,18097,18371
91,20220720,3호선,가락시장,9460,9170
