,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220729,1호선,서울역,52759,53172
1,20220729,1호선,시청,23833,24476
2,20220729,1호선,종각,38828,38328
3,20220729,1호선,종로3가,25957,24498
4,20220729,1호선,종로5가,23537,23417
5,20220729,1호선,동대문,11287,10124
6,20220729,1호선,신설동,14142,13553
7,20220729,1호선,제기동,16263,16198
8,20220729,1호선,청량리(서울시립대입구),19619,19977
9,20220729,1호선,동묘앞,7316,7514
10,20220729,2호선,시청,25037,24486
11,20220729,2호선,을지로입구,43297,44558
12,20220729,2호선,을지로3가,24874,25754
13,20220729,2호선,을지로4가,14044,13923
14,20220729,2호선,동대문역사문화공원(DDP),13553,14898
15,20220729,2호선,신당,14484,14711
16,20220729,2호선,상왕십리,14478,13709
17,20220729,2호선,왕십리(성동구청),16444,14152
18,20220729,2호선,한양대,6608,6894
19,20220729,2호선,뚝섬,23394,25141
20,20220729,2호선,성수,39011,42900
21,20220729,2호선,건대입구,36038,40344
22,20220729,2호선,구의(광진구청),24023,23059
23,20220729,2호선,강변(동서울터미널),35424,37190
24,20220729,2호선,잠실나루,14513,13647
25,20220729,2호선,잠실(송파구청),82635,82139
26,20220729,2호선,잠실새내,22602,23068
27,20220729,2호선,종합운동장,11881,12764
28,20220729,2호선,삼성(무역센터),61619,60773
29,20220729,2호선,선릉,59169,52518
30,20220729,2호선,역삼,53061,59338
31,20220729,2호선,강남,90892,89616
32,20220729,2호선,교대(법원.검찰청),32689,37094
33,20220729,2호선,서초,21492,20319
34,20220729,2호선,방배,16139,16692
35,20220729,2호선,사당,40073,44595
36,20220729,2호선,낙성대(강감찬),28669,26263
37,20220729,2호선,서울대입구(관악구청),48405,46486
38,20220729,2호선,봉천,24501,21986
39,20220729,2호선,신림,60437,57765
40,20220729,2호선,신대방,26078,24535
41,20220729,2호선,구로디지털단지,60124,60229
42,20220729,2호선,대림(구로구청),23753,24075
43,20220729,2호선,신도림,49012,49166
44,20220729,2호선,문래,22389,23585
45,20220729,2호선,영등포구청,22001,22772
46,20220729,2호선,당산,18184,21225
47,20220729,2호선,합정,34221,38209
48,20220729,2호선,홍대입구,66396,73957
49,20220729,2호선,신촌,36984,37583
50,20220729,2호선,이대,14128,14419
51,20220729,2호선,아현,10506,9735
52,20220729,2호선,충정로(경기대입구),9978,10570
53,20220729,2호선,용답,2847,2581
54,20220729,2호선,신답,1668,1855
55,20220729,2호선,신설동,3761,3771
56,20220729,2호선,도림천,1327,1328
57,20220729,2호선,양천구청,6596,6775
58,20220729,2호선,신정네거리,10285,10603
59,20220729,2호선,용두(동대문구청),2378,2326
60,20220729,3호선,지축,4999,4621
61,20220729,3호선,구파발,21715,20937
62,20220729,3호선,연신내,36293,34316
