,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220727,1호선,서울역,48224,46488
1,20220727,1호선,시청,24879,25515
2,20220727,1호선,종각,38668,38118
3,20220727,1호선,종로3가,26034,23841
4,20220727,1호선,종로5가,23441,23048
5,20220727,1호선,동대문,10903,10347
6,20220727,1호선,신설동,13826,13629
7,20220727,1호선,제기동,16446,16614
8,20220727,1호선,청량리(서울시립대입구),19216,19176
9,20220727,1호선,동묘앞,7677,7975
10,20220727,2호선,시청,25443,25043
11,20220727,2호선,을지로입구,44045,45561
12,20220727,2호선,을지로3가,25384,25558
13,20220727,2호선,을지로4가,14306,14049
14,20220727,2호선,동대문역사문화공원(DDP),13274,14995
15,20220727,2호선,신당,14170,14798
16,20220727,2호선,상왕십리,14492,14174
17,20220727,2호선,왕십리(성동구청),15910,13732
18,20220727,2호선,한양대,7080,7570
19,20220727,2호선,뚝섬,23486,25389
20,20220727,2호선,성수,39556,43277
21,20220727,2호선,건대입구,34716,37993
22,20220727,2호선,구의(광진구청),24117,23653
23,20220727,2호선,강변(동서울터미널),32825,31005
24,20220727,2호선,잠실나루,14859,14202
25,20220727,2호선,잠실(송파구청),77763,77293
26,20220727,2호선,잠실새내,21637,21612
27,20220727,2호선,종합운동장,10633,11285
28,20220727,2호선,삼성(무역센터),58348,58945
29,20220727,2호선,선릉,61490,54292
30,20220727,2호선,역삼,56022,63525
31,20220727,2호선,강남,87634,84055
32,20220727,2호선,교대(법원.검찰청),33539,37853
33,20220727,2호선,서초,22684,22250
34,20220727,2호선,방배,16128,16761
35,20220727,2호선,사당,38744,42174
36,20220727,2호선,낙성대(강감찬),27771,27103
37,20220727,2호선,서울대입구(관악구청),47296,46621
38,20220727,2호선,봉천,24349,22735
39,20220727,2호선,신림,59172,56898
40,20220727,2호선,신대방,25799,25357
41,20220727,2호선,구로디지털단지,61203,61242
42,20220727,2호선,대림(구로구청),24047,24320
43,20220727,2호선,신도림,48432,48254
44,20220727,2호선,문래,22867,23364
45,20220727,2호선,영등포구청,22536,23273
