,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220705,1호선,서울역,46491,45419
1,20220705,1호선,시청,25190,25600
2,20220705,1호선,종각,39391,38964
3,20220705,1호선,종로3가,26669,24600
4,20220705,1호선,종로5가,23391,23343
5,20220705,1호선,동대문,11014,10507
6,20220705,1호선,신설동,14332,13960
7,20220705,1호선,제기동,17314,17480
8,20220705,1호선,청량리(서울시립대입구),19886,19841
9,20220705,1호선,동묘앞,7992,8247
10,20220705,2호선,시청,26095,25565
11,20220705,2호선,을지로입구,44312,46118
12,20220705,2호선,을지로3가,25312,25413
13,20220705,2호선,을지로4가,14147,13755
14,20220705,2호선,동대문역사문화공원(DDP),12918,14922
15,20220705,2호선,신당,14644,14948
16,20220705,2호선,상왕십리,15225,14772
17,20220705,2호선,왕십리(성동구청),17302,14521
18,20220705,2호선,한양대,9617,10281
19,20220705,2호선,뚝섬,24198,26002
20,20220705,2호선,성수,40467,44001
21,20220705,2호선,건대입구,36458,39423
22,20220705,2호선,구의(광진구청),25043,24406
23,20220705,2호선,강변(동서울터미널),31864,29985
24,20220705,2호선,잠실나루,16142,15776
25,20220705,2호선,잠실(송파구청),76494,76186
26,20220705,2호선,잠실새내,23210,23300
27,20220705,2호선,종합운동장,10449,11363
28,20220705,2호선,삼성(무역센터),59231,60016
29,20220705,2호선,선릉,65167,57215
30,20220705,2호선,역삼,59799,67446
31,20220705,2호선,강남,93187,90242
32,20220705,2호선,교대(법원.검찰청),37354,41982
33,20220705,2호선,서초,23816,23119
34,20220705,2호선,방배,17528,18314
35,20220705,2호선,사당,40293,44018
36,20220705,2호선,낙성대(강감찬),29185,28471
37,20220705,2호선,서울대입구(관악구청),48740,48192
38,20220705,2호선,봉천,25709,23869
39,20220705,2호선,신림,61163,58907
40,20220705,2호선,신대방,26672,26314
41,20220705,2호선,구로디지털단지,63655,63921
42,20220705,2호선,대림(구로구청),24890,25568
43,20220705,2호선,신도림,50477,50278
44,20220705,2호선,문래,24222,24671
45,20220705,2호선,영등포구청,23742,24434
46,20220705,2호선,당산,18709,22391
47,20220705,2호선,합정,32504,34415
48,20220705,2호선,홍대입구,61323,64639
49,20220705,2호선,신촌,37551,38503
50,20220705,2호선,이대,14587,15602
51,20220705,2호선,아현,11459,10896
52,20220705,2호선,충정로(경기대입구),10821,11440
53,20220705,2호선,용답,2879,2770
54,20220705,2호선,신답,1822,2104
55,20220705,2호선,신설동,3401,3343
56,20220705,2호선,도림천,1595,1653
57,20220705,2호선,양천구청,7470,7575
58,20220705,2호선,신정네거리,11011,11285
59,20220705,2호선,용두(동대문구청),2475,2521
60,20220705,3호선,지축,5604,5254
61,20220705,3호선,구파발,22815,21983
62,20220705,3호선,연신내,38159,35470
63,20220705,3호선,불광,16942,18179
64,20220705,3호선,녹번,16258,14850
65,20220705,3호선,홍제,18356,17155
66,20220705,3호선,무악재,4258,4296
67,20220705,3호선,독립문,7499,7537
68,20220705,3호선,경복궁(정부서울청사),20788,20531
69,20220705,3호선,안국,23515,24122
70,20220705,3호선,종로3가,10344,12052
71,20220705,3호선,을지로3가,11522,11616
72,20220705,3호선,동대입구,7883,8315
73,20220705,3호선,약수,13591,13222
74,20220705,3호선,금호,8347,7768
75,20220705,3호선,옥수,9483,9852
76,20220705,3호선,압구정,35073,37478
77,20220705,3호선,신사,30984,32646
78,20220705,3호선,잠원,5326,5115
79,20220705,3호선,고속터미널,42910,41186
80,20220705,3호선,교대(법원.검찰청),15640,10277
81,20220705,3호선,남부터미널(예술의전당),30892,31409
82,20220705,3호선,양재(서초구청),40056,43870
83,20220705,3호선,매봉,13617,13195
84,20220705,3호선,도곡,5714,5759
85,20220705,3호선,대치,11577,11665
86,20220705,3호선,학여울,1919,1933
87,20220705,3호선,대청,11114,10367
88,20220705,3호선,일원,11655,11355
89,20220705,3호선,수서,17999,18481
90,20220705,3호선,가락시장,9530,9306
91,20220705,3호선,경찰병원,7798,7936
92,20220705,3호선,오금,6793,6081
93,20220705,4호선,당고개,9638,8589
94,20220705,4호선,상계,20281,18838
95,20220705,4호선,노원,19835,22412
96,20220705,4호선,창동,26858,28291
97,20220705,4호선,쌍문,30120,28271
98,20220705,4호선,수유(강북구청),34861,35155
99,20220705,4호선,미아(서울사이버대학),15406,14950
100,20220705,4호선,미아사거리,28412,27977
101,20220705,4호선,길음,21525,21446
102,20220705,4호선,성신여대입구(돈암),20406,19754
103,20220705,4호선,한성대입구(삼선교),13698,13186
104,20220705,4호선,혜화,34353,34318
105,20220705,4호선,동대문,21316,21619
106,20220705,4호선,동대문역사문화공원(DDP),15833,14009
107,20220705,4호선,충무로,27612,28808
108,20220705,4호선,명동,20638,21135
109,20220705,4호선,회현(남대문시장),26427,27379
110,20220705,4호선,서울역,12381,17686
111,20220705,4호선,숙대입구(갈월),13875,13232
112,20220705,4호선,삼각지,5544,6235
113,20220705,4호선,신용산,18836,19824
114,20220705,4호선,이촌(국립중앙박물관),9350,10153
115,20220705,4호선,동작(현충원),1307,1492
116,20220705,4호선,총신대입구(이수),20084,21634
117,20220705,4호선,사당,26508,22097
118,20220705,4호선,남태령,1331,1183
119,20220705,5호선,방화,7462,7214
120,20220705,5호선,개화산,6173,5839
121,20220705,5호선,김포공항,8120,7922
122,20220705,5호선,송정,6970,6460
123,20220705,5호선,마곡,11982,11965
124,20220705,5호선,발산,23078,23681
125,20220705,5호선,우장산,15829,15460
126,20220705,5호선,화곡,30479,28182
127,20220705,5호선,까치산,30562,29270
128,20220705,5호선,신정(은행정),14812,12094
129,20220705,5호선,목동,18187,19302
130,20220705,5호선,오목교(목동운동장앞),23396,24984
131,20220705,5호선,양평,7997,8076
132,20220705,5호선,영등포구청,4214,4482
133,20220705,5호선,영등포시장,10652,11212
134,20220705,5호선,신길,4654,4901
135,20220705,5호선,여의도,32086,33935
136,20220705,5호선,여의나루,11579,12995
137,20220705,5호선,마포,15716,15909
138,20220705,5호선,공덕,15673,16328
139,20220705,5호선,애오개,7315,7368
140,20220705,5호선,충정로(경기대입구),4876,4917
141,20220705,5호선,서대문,21542,21825
142,20220705,5호선,광화문(세종문화회관),33557,35362
143,20220705,5호선,종로3가,13283,13186
144,20220705,5호선,을지로4가,6514,6651
145,20220705,5호선,동대문역사문화공원(DDP),3264,3789
146,20220705,5호선,청구,4244,3925
147,20220705,5호선,신금호,7131,7298
148,20220705,5호선,행당,8868,7892
149,20220705,5호선,왕십리(성동구청),4824,5555
150,20220705,5호선,마장,5887,5460
151,20220705,5호선,답십리,16892,15440
152,20220705,5호선,장한평,19636,19660
153,20220705,5호선,군자(능동),11614,12737
154,20220705,5호선,아차산(어린이대공원후문),15137,14520
155,20220705,5호선,광나루(장신대),14053,12753
156,20220705,5호선,천호(풍납토성),19579,19461
157,20220705,5호선,강동,19836,19093
158,20220705,5호선,길동,8534,8802
159,20220705,5호선,굽은다리(강동구민회관앞),10473,10131
160,20220705,5호선,명일,9730,9871
161,20220705,5호선,고덕,11145,10808
162,20220705,5호선,상일동,16326,15079
163,20220705,5호선,둔촌동,8624,8750
164,20220705,5호선,올림픽공원(한국체대),4624,3828
165,20220705,5호선,방이,7621,7974
166,20220705,5호선,오금,4153,4164
167,20220705,5호선,개롱,7218,7417
168,20220705,5호선,거여,11128,10869
169,20220705,5호선,마천,7835,7420
170,20220705,5호선,강일,4777,4803
171,20220705,5호선,미사,17476,17676
172,20220705,5호선,하남풍산,4702,4626
173,20220705,5호선,하남시청(덕풍·신장),7584,7251
174,20220705,5호선,하남검단산,6411,6239
175,20220705,6호선,응암,18641,18381
176,20220705,6호선,역촌,4092,4735
177,20220705,6호선,불광,4607,4657
178,20220705,6호선,독바위,2948,3051
179,20220705,6호선,구산,8441,6354
180,20220705,6호선,새절(신사),13433,12581
181,20220705,6호선,증산(명지대앞),10563,10532
182,20220705,6호선,디지털미디어시티,15640,17765
183,20220705,6호선,월드컵경기장(성산),4617,4882
184,20220705,6호선,마포구청,15864,14240
185,20220705,6호선,망원,14136,14923
186,20220705,6호선,합정,13915,13620
187,20220705,6호선,상수,9045,10128
188,20220705,6호선,광흥창(서강),10160,9840
189,20220705,6호선,대흥(서강대앞),9135,9404
190,20220705,6호선,공덕,20113,19431
191,20220705,6호선,효창공원앞,7512,6720
192,20220705,6호선,삼각지,7986,7007
193,20220705,6호선,녹사평(용산구청),5021,4842
194,20220705,6호선,이태원,10296,10549
195,20220705,6호선,한강진,8048,9243
196,20220705,6호선,버티고개,2360,2350
197,20220705,6호선,약수,3846,3835
198,20220705,6호선,청구,3797,3985
199,20220705,6호선,신당,8171,8758
200,20220705,6호선,동묘앞,8043,8271
201,20220705,6호선,창신,3852,3145
202,20220705,6호선,보문,8131,7328
203,20220705,6호선,안암(고대병원앞),11639,11598
204,20220705,6호선,고려대(종암),8730,8481
205,20220705,6호선,월곡(동덕여대),12494,12154
206,20220705,6호선,상월곡(한국과학기술연구원),6629,5842
207,20220705,6호선,돌곶이,9800,9111
208,20220705,6호선,석계,12952,13436
209,20220705,6호선,태릉입구,5671,6075
210,20220705,6호선,화랑대(서울여대입구),12506,9742
211,20220705,6호선,봉화산(서울의료원),9625,9230
212,20220705,7호선,장암,2430,948
213,20220705,7호선,도봉산,9544,10672
214,20220705,7호선,수락산,13450,13353
215,20220705,7호선,마들,13789,13029
216,20220705,7호선,노원,21466,22217
217,20220705,7호선,중계,15843,14338
218,20220705,7호선,하계,18968,17963
219,20220705,7호선,공릉(서울과학기술대),12617,12652
220,20220705,7호선,태릉입구,8708,8221
221,20220705,7호선,먹골,10962,10792
222,20220705,7호선,중화,11515,11241
223,20220705,7호선,상봉(시외버스터미널),17355,16431
224,20220705,7호선,면목,15560,15307
225,20220705,7호선,사가정,16796,16645
226,20220705,7호선,용마산(용마폭포공원),6268,6097
227,20220705,7호선,중곡,12091,11091
228,20220705,7호선,군자(능동),16026,12768
229,20220705,7호선,어린이대공원(세종대),13378,13307
230,20220705,7호선,건대입구,13712,14308
231,20220705,7호선,뚝섬유원지,8867,8640
232,20220705,7호선,청담,21497,24092
233,20220705,7호선,강남구청,18269,20109
234,20220705,7호선,학동,26444,27872
