,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220724,1호선,서울역,29049,26654
1,20220724,1호선,시청,8177,7838
2,20220724,1호선,종각,13402,12005
3,20220724,1호선,종로3가,14778,13103
4,20220724,1호선,종로5가,9738,9565
5,20220724,1호선,동대문,8807,9392
6,20220724,1호선,신설동,7286,7234
7,20220724,1호선,제기동,10020,10615
8,20220724,1호선,청량리(서울시립대입구),12662,12773
9,20220724,1호선,동묘앞,10589,10851
10,20220724,2호선,시청,6404,5618
11,20220724,2호선,을지로입구,16630,15858
12,20220724,2호선,을지로3가,9049,8795
13,20220724,2호선,을지로4가,3945,3893
14,20220724,2호선,동대문역사문화공원(DDP),8408,10053
15,20220724,2호선,신당,8207,8813
16,20220724,2호선,상왕십리,6840,6897
17,20220724,2호선,왕십리(성동구청),9126,8060
18,20220724,2호선,한양대,2549,2693
19,20220724,2호선,뚝섬,9986,10122
20,20220724,2호선,성수,15227,17141
21,20220724,2호선,건대입구,25284,26930
22,20220724,2호선,구의(광진구청),11104,11224
23,20220724,2호선,강변(동서울터미널),23198,21427
24,20220724,2호선,잠실나루,5128,5323
25,20220724,2호선,잠실(송파구청),48809,45935
26,20220724,2호선,잠실새내,11479,11766
27,20220724,2호선,종합운동장,7836,8531
28,20220724,2호선,삼성(무역센터),25777,24835
29,20220724,2호선,선릉,13041,11273
30,20220724,2호선,역삼,10595,11589
31,20220724,2호선,강남,34690,32945
32,20220724,2호선,교대(법원.검찰청),10457,11596
33,20220724,2호선,서초,11542,10772
34,20220724,2호선,방배,6676,7220
35,20220724,2호선,사당,21926,23785
36,20220724,2호선,낙성대(강감찬),15196,15695
37,20220724,2호선,서울대입구(관악구청),25175,25974
38,20220724,2호선,봉천,12225,11894
39,20220724,2호선,신림,34998,34663
40,20220724,2호선,신대방,14881,14466
41,20220724,2호선,구로디지털단지,23563,23249
42,20220724,2호선,대림(구로구청),15584,15992
43,20220724,2호선,신도림,26554,26992
44,20220724,2호선,문래,7538,7956
45,20220724,2호선,영등포구청,6743,6953
46,20220724,2호선,당산,8235,8942
47,20220724,2호선,합정,21663,23938
48,20220724,2호선,홍대입구,53088,53533
49,20220724,2호선,신촌,22750,22557
50,20220724,2호선,이대,7158,7747
51,20220724,2호선,아현,5562,5446
52,20220724,2호선,충정로(경기대입구),3388,3619
53,20220724,2호선,용답,1641,1634
54,20220724,2호선,신답,766,876
55,20220724,2호선,신설동,2908,2876
56,20220724,2호선,도림천,465,443
57,20220724,2호선,양천구청,3157,3221
58,20220724,2호선,신정네거리,5184,5306
59,20220724,2호선,용두(동대문구청),1055,1045
60,20220724,3호선,지축,2569,2292
61,20220724,3호선,구파발,11923,12225
62,20220724,3호선,연신내,20858,19765
63,20220724,3호선,불광,9416,10562
64,20220724,3호선,녹번,7160,6355
65,20220724,3호선,홍제,8996,8587
66,20220724,3호선,무악재,1813,1901
67,20220724,3호선,독립문,4058,4127
68,20220724,3호선,경복궁(정부서울청사),12673,14257
69,20220724,3호선,안국,12105,12323
70,20220724,3호선,종로3가,4021,5330
71,20220724,3호선,을지로3가,3529,3325
72,20220724,3호선,동대입구,4655,5096
73,20220724,3호선,약수,6600,6448
74,20220724,3호선,금호,4229,3931
75,20220724,3호선,옥수,4740,4986
76,20220724,3호선,압구정,14455,15174
77,20220724,3호선,신사,12266,12418
78,20220724,3호선,잠원,2296,2216
79,20220724,3호선,고속터미널,42236,40382
80,20220724,3호선,교대(법원.검찰청),4503,2682
81,20220724,3호선,남부터미널(예술의전당),15196,15633
82,20220724,3호선,양재(서초구청),12316,14281
83,20220724,3호선,매봉,4165,4175
84,20220724,3호선,도곡,1934,2049
85,20220724,3호선,대치,7463,6286
86,20220724,3호선,학여울,1057,1056
87,20220724,3호선,대청,3996,3938
88,20220724,3호선,일원,3567,3778
89,20220724,3호선,수서,10486,10599
90,20220724,3호선,가락시장,3444,3674
91,20220724,3호선,경찰병원,2747,2735
92,20220724,3호선,오금,2633,2765
93,20220724,4호선,당고개,5651,5389
94,20220724,4호선,상계,10044,9401
95,20220724,4호선,노원,11946,13019
96,20220724,4호선,창동,14878,15597
97,20220724,4호선,쌍문,15317,13899
98,20220724,4호선,수유(강북구청),19378,18915
99,20220724,4호선,미아(서울사이버대학),7835,7416
100,20220724,4호선,미아사거리,15867,14668
101,20220724,4호선,길음,10604,10248
102,20220724,4호선,성신여대입구(돈암),11986,11683
103,20220724,4호선,한성대입구(삼선교),7470,7282
104,20220724,4호선,혜화,23945,25139
105,20220724,4호선,동대문,6661,6987
106,20220724,4호선,동대문역사문화공원(DDP),9251,8432
107,20220724,4호선,충무로,7177,7797
108,20220724,4호선,명동,12493,13104
109,20220724,4호선,회현(남대문시장),8455,8638
110,20220724,4호선,서울역,4344,11049
111,20220724,4호선,숙대입구(갈월),7955,7710
112,20220724,4호선,삼각지,2919,3795
113,20220724,4호선,신용산,8817,9056
114,20220724,4호선,이촌(국립중앙박물관),6844,7158
115,20220724,4호선,동작(현충원),889,968
116,20220724,4호선,총신대입구(이수),10199,11159
117,20220724,4호선,사당,15087,14131
118,20220724,4호선,남태령,797,602
119,20220724,5호선,방화,3769,3559
120,20220724,5호선,개화산,2602,2670
121,20220724,5호선,김포공항,7041,6693
122,20220724,5호선,송정,3540,3444
123,20220724,5호선,마곡,3606,3827
124,20220724,5호선,발산,8445,9284
125,20220724,5호선,우장산,6728,6887
126,20220724,5호선,화곡,13574,12958
127,20220724,5호선,까치산,15011,14695
128,20220724,5호선,신정(은행정),6116,5586
129,20220724,5호선,목동,7584,7800
130,20220724,5호선,오목교(목동운동장앞),10954,11474
131,20220724,5호선,양평,2570,2633
132,20220724,5호선,영등포구청,1291,1176
133,20220724,5호선,영등포시장,5383,5618
134,20220724,5호선,신길,2033,2170
135,20220724,5호선,여의도,7581,7995
136,20220724,5호선,여의나루,8671,9608
137,20220724,5호선,마포,4554,4619
138,20220724,5호선,공덕,4384,4420
139,20220724,5호선,애오개,2690,2676
140,20220724,5호선,충정로(경기대입구),1395,1460
141,20220724,5호선,서대문,4618,4582
142,20220724,5호선,광화문(세종문화회관),11816,12018
143,20220724,5호선,종로3가,8653,7940
144,20220724,5호선,을지로4가,1565,1758
145,20220724,5호선,동대문역사문화공원(DDP),838,954
146,20220724,5호선,청구,1787,1676
147,20220724,5호선,신금호,2864,3073
148,20220724,5호선,행당,3878,3549
149,20220724,5호선,왕십리(성동구청),2256,2716
150,20220724,5호선,마장,2729,2697
151,20220724,5호선,답십리,7311,6727
152,20220724,5호선,장한평,7881,7993
153,20220724,5호선,군자(능동),5813,6696
154,20220724,5호선,아차산(어린이대공원후문),8798,8449
155,20220724,5호선,광나루(장신대),7319,6964
156,20220724,5호선,천호(풍납토성),12209,11358
157,20220724,5호선,강동,8617,8613
158,20220724,5호선,길동,4015,4115
159,20220724,5호선,굽은다리(강동구민회관앞),5309,4861
160,20220724,5호선,명일,4740,4769
161,20220724,5호선,고덕,4213,4210
162,20220724,5호선,상일동,6465,6265
163,20220724,5호선,둔촌동,4289,4404
164,20220724,5호선,올림픽공원(한국체대),2062,1758
165,20220724,5호선,방이,3780,3585
166,20220724,5호선,오금,1488,1385
167,20220724,5호선,개롱,2884,3129
168,20220724,5호선,거여,4723,4577
169,20220724,5호선,마천,3516,3676
170,20220724,5호선,강일,2367,2281
171,20220724,5호선,미사,8962,9147
172,20220724,5호선,하남풍산,2250,2285
173,20220724,5호선,하남시청(덕풍·신장),4286,4171
174,20220724,5호선,하남검단산,4393,4328
175,20220724,6호선,응암,9103,9206
176,20220724,6호선,역촌,1995,2201
177,20220724,6호선,불광,3056,2719
178,20220724,6호선,독바위,1396,1692
179,20220724,6호선,연신내,1,0
180,20220724,6호선,구산,3895,2984
181,20220724,6호선,새절(신사),6387,6134
182,20220724,6호선,증산(명지대앞),5320,5332
183,20220724,6호선,디지털미디어시티,5468,5851
184,20220724,6호선,월드컵경기장(성산),3115,3200
185,20220724,6호선,마포구청,6865,6218
186,20220724,6호선,망원,9079,9996
187,20220724,6호선,합정,9989,8985
188,20220724,6호선,상수,6511,7419
189,20220724,6호선,광흥창(서강),4232,3984
190,20220724,6호선,대흥(서강대앞),3657,3901
191,20220724,6호선,공덕,6705,6170
192,20220724,6호선,효창공원앞,3431,3135
193,20220724,6호선,삼각지,3928,3022
194,20220724,6호선,녹사평(용산구청),3907,3837
195,20220724,6호선,이태원,11272,9804
196,20220724,6호선,한강진,6964,7700
197,20220724,6호선,버티고개,1048,1122
198,20220724,6호선,약수,1707,1628
199,20220724,6호선,청구,1702,1599
200,20220724,6호선,신당,4926,5524
201,20220724,6호선,동묘앞,5792,5544
202,20220724,6호선,창신,1628,1447
203,20220724,6호선,보문,3950,3798
204,20220724,6호선,안암(고대병원앞),4793,5010
205,20220724,6호선,고려대(종암),3993,3868
206,20220724,6호선,월곡(동덕여대),5266,5176
207,20220724,6호선,상월곡(한국과학기술연구원),3125,2876
208,20220724,6호선,돌곶이,5386,5208
209,20220724,6호선,석계,6160,6432
210,20220724,6호선,태릉입구,3227,3419
211,20220724,6호선,화랑대(서울여대입구),4742,4183
212,20220724,6호선,봉화산(서울의료원),3843,3856
213,20220724,7호선,장암,1494,1044
214,20220724,7호선,도봉산,4813,6756
215,20220724,7호선,수락산,7897,7911
216,20220724,7호선,마들,5821,5457
217,20220724,7호선,노원,11232,11448
218,20220724,7호선,중계,6493,6062
219,20220724,7호선,하계,9109,8510
220,20220724,7호선,공릉(서울과학기술대),6150,6231
221,20220724,7호선,태릉입구,5047,4627
222,20220724,7호선,먹골,5395,5164
223,20220724,7호선,중화,5623,5464
224,20220724,7호선,상봉(시외버스터미널),9239,8530
225,20220724,7호선,면목,7653,7427
226,20220724,7호선,사가정,8480,8266
227,20220724,7호선,용마산(용마폭포공원),3180,3279
228,20220724,7호선,중곡,5125,4878
229,20220724,7호선,군자(능동),7975,6142
230,20220724,7호선,어린이대공원(세종대),8079,8050
231,20220724,7호선,건대입구,7381,7642
232,20220724,7호선,뚝섬유원지,6477,5969
233,20220724,7호선,청담,6467,7088
234,20220724,7호선,강남구청,4863,5351
235,20220724,7호선,학동,5635,5998
236,20220724,7호선,논현,5492,5636
237,20220724,7호선,반포,2917,2877
238,20220724,7호선,고속터미널,13093,8172
239,20220724,7호선,내방,5146,5461
240,20220724,7호선,이수,8228,7903
241,20220724,7호선,남성,5307,5280
242,20220724,7호선,숭실대입구(살피재),5739,6291
243,20220724,7호선,상도,5434,5429
244,20220724,7호선,장승배기,4556,4571
245,20220724,7호선,신대방삼거리,7526,7386
246,20220724,7호선,보라매,3814,3910
247,20220724,7호선,신풍,6215,5967
248,20220724,7호선,대림(구로구청),7971,7508
249,20220724,7호선,남구로,6766,6502
250,20220724,7호선,가산디지털단지,9949,9041
251,20220724,7호선,철산,10461,10655
252,20220724,7호선,광명사거리,12302,12254
253,20220724,7호선,천왕,4686,4711
254,20220724,7호선,온수(성공회대입구),3933,4056
255,20220724,8호선,암사,8806,8370
256,20220724,8호선,천호(풍납토성),8174,9343
257,20220724,8호선,강동구청,4511,4782
258,20220724,8호선,몽촌토성(평화의문),3272,3316
259,20220724,8호선,잠실(송파구청),10063,11165
260,20220724,8호선,석촌,3970,4984
261,20220724,8호선,송파,4317,4404
262,20220724,8호선,가락시장,2978,3799
263,20220724,8호선,문정,5033,5287
264,20220724,8호선,장지,8761,8923
265,20220724,8호선,복정,4798,4385
266,20220724,8호선,산성,2833,2938
267,20220724,8호선,남한산성입구(성남법원.검찰청),6750,6263
268,20220724,8호선,단대오거리,5544,5416
269,20220724,8호선,신흥,2696,2919
270,20220724,8호선,수진,3441,3084
271,20220724,8호선,모란,4293,3689
272,20220724,8호선,남위례,2629,2775
273,20220724,9호선,개화,1009,963
274,20220724,9호선,김포공항,7445,10861
275,20220724,9호선,공항시장,1693,1877
276,20220724,9호선,신방화,3539,3398
277,20220724,9호선,마곡나루(서울식물원),5199,5498
278,20220724,9호선,양천향교,4280,4486
279,20220724,9호선,가양,11162,10598
280,20220724,9호선,증미,2438,2475
281,20220724,9호선,등촌,4863,4942
282,20220724,9호선,염창,8352,8377
283,20220724,9호선,신목동,1755,1532
284,20220724,9호선,선유도,2574,2697
285,20220724,9호선,당산,9037,9137
286,20220724,9호선,국회의사당,4547,4301
287,20220724,9호선,여의도,9049,8337
288,20220724,9호선,샛강,1853,1768
289,20220724,9호선,노량진,14223,14943
290,20220724,9호선,노들,2638,2206
291,20220724,9호선,흑석(중앙대입구),3827,3954
292,20220724,9호선,동작(현충원),1225,1051
293,20220724,9호선,구반포,513,528
294,20220724,9호선,신반포,1776,1783
295,20220724,9호선,고속터미널,11248,15753
296,20220724,9호선,사평,1652,1636
297,20220724,9호선,신논현,15784,14825
298,20220724,9호선2~3단계,언주,3539,3556
299,20220724,9호선2~3단계,선정릉,2846,3222
300,20220724,9호선2~3단계,삼성중앙,2112,2227
301,20220724,9호선2~3단계,봉은사,12371,12821
302,20220724,9호선2~3단계,종합운동장,2470,2165
303,20220724,9호선2~3단계,삼전,3577,3536
304,20220724,9호선2~3단계,석촌고분,3121,3101
305,20220724,9호선2~3단계,석촌,4800,4049
306,20220724,9호선2~3단계,송파나루,2913,3319
307,20220724,9호선2~3단계,한성백제,1359,1236
308,20220724,9호선2~3단계,올림픽공원(한국체대),3108,3431
309,20220724,9호선2~3단계,둔촌오륜,553,587
310,20220724,9호선2~3단계,중앙보훈병원,3621,3429
311,20220724,경강선,판교,2596,2423
312,20220724,경강선,이매,684,521
313,20220724,경강선,삼동,1070,1119
314,20220724,경강선,경기광주,4084,3998
315,20220724,경강선,초월,1740,1769
316,20220724,경강선,곤지암,1536,1733
317,20220724,경강선,신둔도예촌,941,976
318,20220724,경강선,이천,2153,2397
319,20220724,경강선,부발,1510,2035
320,20220724,경강선,세종대왕릉,286,302
