,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220718,1호선,서울역,46822,45348
1,20220718,1호선,시청,23220,23606
2,20220718,1호선,종각,38017,37878
3,20220718,1호선,종로3가,25979,24010
4,20220718,1호선,종로5가,22973,22777
5,20220718,1호선,동대문,10974,10253
6,20220718,1호선,신설동,14107,13745
7,20220718,1호선,제기동,16824,16920
8,20220718,1호선,청량리(서울시립대입구),19503,19236
9,20220718,1호선,동묘앞,7426,7975
10,20220718,2호선,시청,23944,23668
11,20220718,2호선,을지로입구,42651,43934
12,20220718,2호선,을지로3가,24540,24578
13,20220718,2호선,을지로4가,13836,13878
14,20220718,2호선,동대문역사문화공원(DDP),12998,14625
15,20220718,2호선,신당,14386,14580
16,20220718,2호선,상왕십리,14721,14349
17,20220718,2호선,왕십리(성동구청),15851,13458
18,20220718,2호선,한양대,7832,8456
19,20220718,2호선,뚝섬,22668,24821
20,20220718,2호선,성수,39993,43319
21,20220718,2호선,건대입구,33963,36779
22,20220718,2호선,구의(광진구청),24145,23770
23,20220718,2호선,강변(동서울터미널),32086,30767
24,20220718,2호선,잠실나루,15334,14845
25,20220718,2호선,잠실(송파구청),69223,69472
26,20220718,2호선,잠실새내,22230,21943
27,20220718,2호선,종합운동장,7357,8255
28,20220718,2호선,삼성(무역센터),55023,55501
29,20220718,2호선,선릉,62226,54974
30,20220718,2호선,역삼,56465,63763
31,20220718,2호선,강남,87595,84835
32,20220718,2호선,교대(법원.검찰청),35954,40824
33,20220718,2호선,서초,22786,22145
34,20220718,2호선,방배,16448,17041
35,20220718,2호선,사당,37449,40960
36,20220718,2호선,낙성대(강감찬),27953,27696
37,20220718,2호선,서울대입구(관악구청),47440,47157
38,20220718,2호선,봉천,24797,23061
39,20220718,2호선,신림,58660,56094
40,20220718,2호선,신대방,25895,25115
41,20220718,2호선,구로디지털단지,61230,61410
42,20220718,2호선,대림(구로구청),24505,25005
43,20220718,2호선,신도림,47897,47263
44,20220718,2호선,문래,22804,23441
45,20220718,2호선,영등포구청,23113,23881
46,20220718,2호선,당산,18128,21768
47,20220718,2호선,합정,30336,32394
48,20220718,2호선,홍대입구,56500,59738
49,20220718,2호선,신촌,34962,35357
50,20220718,2호선,이대,13904,15066
51,20220718,2호선,아현,10621,9968
52,20220718,2호선,충정로(경기대입구),10181,10782
53,20220718,2호선,용답,2805,2730
54,20220718,2호선,신답,1787,2063
55,20220718,2호선,신설동,3484,3425
56,20220718,2호선,도림천,1543,1652
57,20220718,2호선,양천구청,7169,7483
58,20220718,2호선,신정네거리,10565,10872
59,20220718,2호선,용두(동대문구청),2437,2448
60,20220718,3호선,지축,5559,5304
61,20220718,3호선,구파발,21999,21210
62,20220718,3호선,연신내,36807,34854
63,20220718,3호선,불광,16339,17379
64,20220718,3호선,녹번,16028,14468
65,20220718,3호선,홍제,17900,16766
66,20220718,3호선,무악재,4118,4005
67,20220718,3호선,독립문,7222,7224
