,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220707,1호선,서울역,47343,46539
1,20220707,1호선,시청,25624,25939
2,20220707,1호선,종각,39889,39164
3,20220707,1호선,종로3가,26191,24293
4,20220707,1호선,종로5가,22880,22794
5,20220707,1호선,동대문,10690,10067
6,20220707,1호선,신설동,14065,13753
7,20220707,1호선,제기동,16763,17075
8,20220707,1호선,청량리(서울시립대입구),19487,19525
9,20220707,1호선,동묘앞,7531,7842
10,20220707,2호선,시청,26461,25692
11,20220707,2호선,을지로입구,44253,45855
12,20220707,2호선,을지로3가,25293,25210
13,20220707,2호선,을지로4가,13794,13622
14,20220707,2호선,동대문역사문화공원(DDP),13063,14857
15,20220707,2호선,신당,14358,14761
16,20220707,2호선,상왕십리,15226,14951
17,20220707,2호선,왕십리(성동구청),16993,14189
18,20220707,2호선,한양대,9656,10365
19,20220707,2호선,뚝섬,23691,25426
20,20220707,2호선,성수,39878,43159
21,20220707,2호선,건대입구,35261,37796
22,20220707,2호선,구의(광진구청),24561,24397
23,20220707,2호선,강변(동서울터미널),31332,29607
24,20220707,2호선,잠실나루,15605,15077
25,20220707,2호선,잠실(송파구청),75632,75760
26,20220707,2호선,잠실새내,22843,22624
27,20220707,2호선,종합운동장,9757,10418
28,20220707,2호선,삼성(무역센터),65582,65921
29,20220707,2호선,선릉,64044,56251
30,20220707,2호선,역삼,58427,65410
31,20220707,2호선,강남,90644,87987
32,20220707,2호선,교대(법원.검찰청),37194,42219
33,20220707,2호선,서초,23311,22530
34,20220707,2호선,방배,17411,18064
35,20220707,2호선,사당,39889,43707
36,20220707,2호선,낙성대(강감찬),28873,27944
37,20220707,2호선,서울대입구(관악구청),49047,47611
38,20220707,2호선,봉천,24944,23435
39,20220707,2호선,신림,60417,58107
40,20220707,2호선,신대방,26331,25657
41,20220707,2호선,구로디지털단지,62629,62515
42,20220707,2호선,대림(구로구청),24601,24900
43,20220707,2호선,신도림,49706,49029
44,20220707,2호선,문래,23739,24289
45,20220707,2호선,영등포구청,23098,23798
46,20220707,2호선,당산,18641,22271
47,20220707,2호선,합정,32596,34642
48,20220707,2호선,홍대입구,57800,61692
49,20220707,2호선,신촌,37736,37996
50,20220707,2호선,이대,14532,15548
51,20220707,2호선,아현,11225,10560
52,20220707,2호선,충정로(경기대입구),10571,11485
53,20220707,2호선,용답,2834,2803
54,20220707,2호선,신답,1746,2006
55,20220707,2호선,신설동,3504,3371
56,20220707,2호선,도림천,1514,1605
57,20220707,2호선,양천구청,7206,7417
58,20220707,2호선,신정네거리,10777,11031
59,20220707,2호선,용두(동대문구청),2553,2486
60,20220707,3호선,지축,5527,5116
61,20220707,3호선,구파발,22039,21164
62,20220707,3호선,연신내,37038,34814
63,20220707,3호선,불광,16355,17288
64,20220707,3호선,녹번,16162,14365
65,20220707,3호선,홍제,17906,16887
66,20220707,3호선,무악재,4178,4209
67,20220707,3호선,독립문,7312,7587
68,20220707,3호선,경복궁(정부서울청사),21725,21703
69,20220707,3호선,안국,23675,24055
70,20220707,3호선,종로3가,10542,12308
71,20220707,3호선,을지로3가,11545,11569
72,20220707,3호선,동대입구,7819,8412
73,20220707,3호선,약수,13693,13154
74,20220707,3호선,금호,8296,7619
75,20220707,3호선,옥수,9332,9714
76,20220707,3호선,압구정,34416,36929
77,20220707,3호선,신사,30113,32104
78,20220707,3호선,잠원,5099,4996
79,20220707,3호선,고속터미널,43386,41537
80,20220707,3호선,교대(법원.검찰청),16197,10374
81,20220707,3호선,남부터미널(예술의전당),30427,31191
82,20220707,3호선,양재(서초구청),40778,44337
83,20220707,3호선,매봉,13811,13375
84,20220707,3호선,도곡,5681,5873
85,20220707,3호선,대치,11888,11831
86,20220707,3호선,학여울,5518,5855
87,20220707,3호선,대청,11268,10409
88,20220707,3호선,일원,11802,11435
89,20220707,3호선,수서,18074,18760
90,20220707,3호선,가락시장,9426,9190
91,20220707,3호선,경찰병원,7664,7723
92,20220707,3호선,오금,6689,5929
93,20220707,4호선,당고개,8989,7982
94,20220707,4호선,상계,19652,18409
95,20220707,4호선,노원,18810,21201
96,20220707,4호선,창동,26057,27668
