,사용일자,호선명,역명,승차송승객수,하차총승객수
0,20220728,1호선,서울역,48499,47581
1,20220728,1호선,시청,24179,24670
2,20220728,1호선,종각,38689,38118
3,20220728,1호선,종로3가,25805,23701
4,20220728,1호선,종로5가,23456,23356
5,20220728,1호선,동대문,11213,10590
6,20220728,1호선,신설동,13604,13216
7,20220728,1호선,제기동,16520,16544
8,20220728,1호선,청량리(서울시립대입구),19164,19377
9,20220728,1호선,동묘앞,7445,7766
10,20220728,2호선,시청,25323,24864
11,20220728,2호선,을지로입구,43572,45118
12,20220728,2호선,을지로3가,24465,25036
13,20220728,2호선,을지로4가,14057,14052
14,20220728,2호선,동대문역사문화공원(DDP),13410,15104
15,20220728,2호선,신당,14011,14380
16,20220728,2호선,상왕십리,14234,13783
17,20220728,2호선,왕십리(성동구청),15988,13599
18,20220728,2호선,한양대,6715,7149
19,20220728,2호선,뚝섬,23253,25439
20,20220728,2호선,성수,39065,43273
21,20220728,2호선,건대입구,35159,37886
22,20220728,2호선,구의(광진구청),23971,23219
23,20220728,2호선,강변(동서울터미널),32874,31973
24,20220728,2호선,잠실나루,14593,14328
25,20220728,2호선,잠실(송파구청),81144,81269
26,20220728,2호선,잠실새내,22170,22247
27,20220728,2호선,종합운동장,14647,15596
28,20220728,2호선,삼성(무역센터),62186,62373
29,20220728,2호선,선릉,61278,54336
30,20220728,2호선,역삼,55556,63154
31,20220728,2호선,강남,88439,85405
32,20220728,2호선,교대(법원.검찰청),33314,37663
33,20220728,2호선,서초,22841,22094
34,20220728,2호선,방배,16024,16615
35,20220728,2호선,사당,39458,43478
36,20220728,2호선,낙성대(강감찬),28013,26657
37,20220728,2호선,서울대입구(관악구청),46897,46032
38,20220728,2호선,봉천,24463,22542
39,20220728,2호선,신림,59423,56519
40,20220728,2호선,신대방,25697,25063
41,20220728,2호선,구로디지털단지,60612,60681
42,20220728,2호선,대림(구로구청),23651,24187
43,20220728,2호선,신도림,48882,48179
44,20220728,2호선,문래,22739,23183
45,20220728,2호선,영등포구청,22100,22725
46,20220728,2호선,당산,18166,21275
47,20220728,2호선,합정,32447,35258
48,20220728,2호선,홍대입구,61630,65731
49,20220728,2호선,신촌,35064,35652
50,20220728,2호선,이대,13915,14702
51,20220728,2호선,아현,10321,9622
52,20220728,2호선,충정로(경기대입구),10104,11045
53,20220728,2호선,용답,2686,2624
54,20220728,2호선,신답,1786,1987
55,20220728,2호선,신설동,3336,3332
56,20220728,2호선,도림천,1345,1346
57,20220728,2호선,양천구청,6680,6901
58,20220728,2호선,신정네거리,10285,10514
59,20220728,2호선,용두(동대문구청),2380,2433
60,20220728,3호선,지축,5145,4843
61,20220728,3호선,구파발,21683,20911
62,20220728,3호선,연신내,35536,33790
63,20220728,3호선,불광,16051,17141
64,20220728,3호선,녹번,15555,13722
65,20220728,3호선,홍제,17330,16123
66,20220728,3호선,무악재,4057,3844
67,20220728,3호선,독립문,7040,7200
68,20220728,3호선,경복궁(정부서울청사),20660,21306
69,20220728,3호선,안국,23240,23776
70,20220728,3호선,종로3가,10644,12545
71,20220728,3호선,을지로3가,10989,11128
72,20220728,3호선,동대입구,11404,12023
73,20220728,3호선,약수,12870,12274
74,20220728,3호선,금호,7685,6946
75,20220728,3호선,옥수,8760,8985
76,20220728,3호선,압구정,32124,34874
77,20220728,3호선,신사,29366,31402
78,20220728,3호선,잠원,4626,4444
79,20220728,3호선,고속터미널,43552,42517
80,20220728,3호선,교대(법원.검찰청),14318,9437
81,20220728,3호선,남부터미널(예술의전당),29595,30319
82,20220728,3호선,양재(서초구청),37036,41021
83,20220728,3호선,매봉,12555,12094
84,20220728,3호선,도곡,5095,5081
85,20220728,3호선,대치,11803,11510
86,20220728,3호선,학여울,1652,1645
87,20220728,3호선,대청,9796,9092
88,20220728,3호선,일원,10456,10111
89,20220728,3호선,수서,17096,17140
90,20220728,3호선,가락시장,8979,8533
91,20220728,3호선,경찰병원,7433,7362
92,20220728,3호선,오금,6266,5655
93,20220728,4호선,당고개,9047,8190
94,20220728,4호선,상계,18676,17296
95,20220728,4호선,노원,18292,20688
96,20220728,4호선,창동,25080,26752
97,20220728,4호선,쌍문,28609,26367
98,20220728,4호선,수유(강북구청),33159,33022
99,20220728,4호선,미아(서울사이버대학),14622,13985
100,20220728,4호선,미아사거리,26617,25834
101,20220728,4호선,길음,20665,19842
102,20220728,4호선,성신여대입구(돈암),19390,18585
103,20220728,4호선,한성대입구(삼선교),12931,12652
104,20220728,4호선,혜화,35366,35393
105,20220728,4호선,동대문,21355,22010
106,20220728,4호선,동대문역사문화공원(DDP),16639,14829
107,20220728,4호선,충무로,26375,28092
108,20220728,4호선,명동,20673,21544
109,20220728,4호선,회현(남대문시장),25221,26529
110,20220728,4호선,서울역,12162,19896
111,20220728,4호선,숙대입구(갈월),12923,12562
112,20220728,4호선,삼각지,5358,6138
113,20220728,4호선,신용산,18379,19474
114,20220728,4호선,이촌(국립중앙박물관),9820,10628
115,20220728,4호선,동작(현충원),1395,1559
116,20220728,4호선,총신대입구(이수),18622,20193
117,20220728,4호선,사당,26148,21687
118,20220728,4호선,남태령,1220,1051
119,20220728,5호선,방화,6861,6583
120,20220728,5호선,개화산,5739,5366
121,20220728,5호선,김포공항,7937,7800
122,20220728,5호선,송정,6409,5782
123,20220728,5호선,마곡,10923,10996
124,20220728,5호선,발산,20733,21664
125,20220728,5호선,우장산,14090,13803
126,20220728,5호선,화곡,28616,26587
127,20220728,5호선,까치산,28857,27260
128,20220728,5호선,신정(은행정),14032,11325
129,20220728,5호선,목동,16659,17412
130,20220728,5호선,오목교(목동운동장앞),21975,23246
131,20220728,5호선,양평,7535,7351
132,20220728,5호선,영등포구청,4099,4128
133,20220728,5호선,영등포시장,10323,10506
134,20220728,5호선,신길,4437,4576
135,20220728,5호선,여의도,29984,32223
136,20220728,5호선,여의나루,12759,13971
137,20220728,5호선,마포,14523,14932
138,20220728,5호선,공덕,14888,15672
139,20220728,5호선,애오개,6844,6874
140,20220728,5호선,충정로(경기대입구),4643,4756
141,20220728,5호선,서대문,19696,20279
142,20220728,5호선,광화문(세종문화회관),31618,33553
143,20220728,5호선,종로3가,13529,13154
144,20220728,5호선,을지로4가,6376,6578
145,20220728,5호선,동대문역사문화공원(DDP),3344,3852
146,20220728,5호선,청구,3895,3637
147,20220728,5호선,신금호,6055,6328
148,20220728,5호선,행당,7981,6962
149,20220728,5호선,왕십리(성동구청),4628,5279
150,20220728,5호선,마장,5562,5101
151,20220728,5호선,답십리,15967,14490
152,20220728,5호선,장한평,19081,18970
153,20220728,5호선,군자(능동),11271,12333
154,20220728,5호선,아차산(어린이대공원후문),14258,13911
155,20220728,5호선,광나루(장신대),12947,11614
156,20220728,5호선,천호(풍납토성),18587,18563
157,20220728,5호선,강동,18766,17900
158,20220728,5호선,길동,8168,8295
159,20220728,5호선,굽은다리(강동구민회관앞),9838,9305
160,20220728,5호선,명일,8277,8477
161,20220728,5호선,고덕,9263,9332
162,20220728,5호선,상일동,15063,13731
163,20220728,5호선,둔촌동,8101,8118
164,20220728,5호선,올림픽공원(한국체대),4139,3495
165,20220728,5호선,방이,7190,7442
166,20220728,5호선,오금,3563,3554
167,20220728,5호선,개롱,6317,6554
168,20220728,5호선,거여,10090,9458
169,20220728,5호선,마천,7107,6755
170,20220728,5호선,강일,4444,4262
171,20220728,5호선,미사,16683,16613
172,20220728,5호선,하남풍산,4253,4247
173,20220728,5호선,하남시청(덕풍·신장),6901,6619
174,20220728,5호선,하남검단산,5914,5712
175,20220728,6호선,응암,17365,17014
176,20220728,6호선,역촌,3826,4266
177,20220728,6호선,불광,4416,4269
178,20220728,6호선,독바위,2749,2874
179,20220728,6호선,연신내,1,0
180,20220728,6호선,구산,7736,5917
181,20220728,6호선,새절(신사),12328,11329
182,20220728,6호선,증산(명지대앞),9780,9609
183,20220728,6호선,디지털미디어시티,14507,16109
184,20220728,6호선,월드컵경기장(성산),4362,4539
185,20220728,6호선,마포구청,14597,12988
186,20220728,6호선,망원,14512,15475
187,20220728,6호선,합정,13633,13422
188,20220728,6호선,상수,8978,10432
189,20220728,6호선,광흥창(서강),9375,8961
