statusCode,statusMessage,croppingSerlNo,croppingSeasonName,croppingDate,croppingEndDate,croppingSystem,itemCode,cultivationArea,calCultivationArea,plantNum,calPlantNum,stemSlabNum,planSlabNum,plantDensity,standardPlantDensity,floodlightDec,leafArea,stndTemp,stndWeight,stndSolar,stndMeta,userId
,,24.0,센스큐_20150131,2015-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000011
,,205.0,센스큐_20160815,2016-08-15 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,13000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000011
0.0,NORMAL_CODE,25.0,데프니스_20150903,2015-09-03 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000012
0.0,NORMAL_CODE,22.0,칸파리_20151106,2015-11-06 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000013
0.0,NORMAL_CODE,27.0,파워요요_20151020,2015-10-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000014
,,200.0,란돌리노_20160521,2016-05-21 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,13000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000014
0.0,NORMAL_CODE,26.0,디전트_20151020,2015-10-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000015
,,196.0,유니콘_20160512,2016-05-12 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,19000.0,2.73,5.0,5.0,,2.5,0.7000000000000001,0.0,18.0,170.0,100.0,,PF_0000015
0.0,NORMAL_CODE,29.0,꼬꼬_20150805,2015-08-05 00:00:00,2016-01-10 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000016
,,30.0,꼬꼬_20160131,2016-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000016
0.0,NORMAL_CODE,197.0,센스큐_20160520,2016-05-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000017
,,28.0,데프니스_20150927,2015-09-27 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000017
0.0,NORMAL_CODE,2007.0,2019_토마토,2019-07-29 00:00:00,2020-06-30 00:00:00,,80300.0,1996.5,6600.0,14400.0,0.5,,,,,,,,,,,PF_0000018
,,195.0,데프니스_20150801,2015-08-01 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000018
,,3604.0,2020년_토마토,2020-10-30 00:00:00,2021-10-31 00:00:00,,80300.0,1996.5,6600.0,14400.0,0.5,,,,,,,,,,,PF_0000018
0.0,NORMAL_CODE,186.0,대추_20151202,2015-12-02 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,1600.0,9900.0,12000.0,2.73,4.0,4.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000019
0.0,NORMAL_CODE,187.0,방울_20151207,2015-12-07 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,900.0,9900.0,23000.0,2.73,4.0,4.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000020
0.0,NORMAL_CODE,4.0,볼란테_20150920,2015-09-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,132600.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000021
0.0,NORMAL_CODE,5.0,피데로_20150720,2015-07-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,132600.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000022
,,3389.0,2020년_파프리카,2020-08-15 00:00:00,2021-06-30 00:00:00,,132600.0,3000.0,9917.36,32000.0,0.30000000000000004,,,,,,,,,,,PF_0000022
0.0,NORMAL_CODE,7.0,스텔스_20151001,2015-10-01 00:00:00,2016-12-31 00:00:00,B0004000000000000002,132600.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000027
,,2561.0,2019_파프리카,2019-07-01 00:00:00,2020-06-30 00:00:00,,132600.0,1597.2,5280.0,16000.0,0.30000000000000004,,,,,,,,,,,PF_0000027
,,489.0,2018_파프리카,2018-07-01 00:00:00,2019-05-28 00:00:00,B0004000000000000002,132600.0,,,,,,,,,,,,,,,PF_0000027
,,3260.0,2020년_파프리카,2020-07-31 00:00:00,2021-06-30 00:00:00,,132600.0,1597.2,5280.0,16000.0,0.30000000000000004,,,,,,,,,,,PF_0000027
,,4721.0,2021년_파프리카,2021-06-25 00:00:00,2022-06-25 00:00:00,,132600.0,1597.2,5280.0,16000.0,0.30000000000000004,,,,,,,,,,,PF_0000027
0.0,NORMAL_CODE,229.0,2016_설향,2016-09-15 00:00:00,2017-09-14 00:00:00,B0004000000000000002,80400.0,,,,,,,,2.5,,0.0,,100.0,,,PF_0000029
,,371.0,17_2작기,2017-08-22 00:00:00,2018-07-20 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000029
,,17.0,설향_20150912,2015-09-12 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80400.0,5000.0,15000.0,150000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,15.0,100.0,130.0,PF_0000029
,,521.0,2018_딸기,2018-09-15 00:00:00,2019-05-23 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000029
,,2148.0,2019년_딸기(설향),2019-09-05 00:00:00,2020-05-31 00:00:00,,80400.0,2096.33,6930.0,56000.0,0.1,,,,,,,,,,,PF_0000029
,,3272.0,2020년_딸기,2020-09-10 00:00:00,2021-05-31 00:00:00,,80400.0,5000.0,16528.92,140000.0,0.1,,,,,,,,,,,PF_0000029
,,4703.0,2021년_딸기,2021-09-12 00:00:00,2022-05-31 00:00:00,,80400.0,998.25,3300.0,28000.0,0.1,,,,,,,,,,,PF_0000029
,,6013.0,2022년_딸기,2022-09-18 00:00:00,2023-05-31 00:00:00,,80400.0,998.25,3300.0,28000.0,0.1,,,,,,,,,,,PF_0000029
0.0,NORMAL_CODE,49.0,설향_20180915,2018-09-15 00:00:00,2019-06-20 00:00:00,B0004000000000000002,80400.0,700.0,2800.0,20000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,15.0,100.0,130.0,PF_0000030
,,2151.0,2019년_딸기(설향),2019-09-23 00:00:00,2020-06-10 00:00:00,,80400.0,688.79,2277.0,15000.0,0.2,,,,,,,,,,,PF_0000030
,,3445.0,2020년_딸기,2020-09-10 00:00:00,2021-06-30 00:00:00,,80400.0,688.79,2277.0,13000.0,0.2,,,,,,,,,,,PF_0000030
,,4705.0,2021년_딸기,2021-09-20 00:00:00,2022-06-30 00:00:00,,80400.0,959.83,3173.0,23200.0,7.31,,,,,,,,,,,PF_0000030
,,6011.0,2022년_딸기,2022-09-20 00:00:00,2023-06-30 00:00:00,,80400.0,959.83,3173.0,23200.0,0.1,,,,,,,,,,,PF_0000030
0.0,NORMAL_CODE,223.0,2016_설향,2016-09-20 00:00:00,2017-09-19 00:00:00,B0004000000000000002,80400.0,,,,,,,,2.5,,0.0,,100.0,,,PF_0000031
,,522.0,2018_딸기,2018-09-26 00:00:00,2019-04-30 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000031
,,2146.0,2019년_딸기(설향),2019-09-25 00:00:00,2020-05-31 00:00:00,,80400.0,998.25,3300.0,30000.0,0.1,,,,,,,,,,,PF_0000031
,,392.0,2017,2017-09-22 00:00:00,2018-09-21 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000031
,,3274.0,2020년_딸기,2020-09-15 00:00:00,2021-05-31 00:00:00,,80400.0,700.0,2314.05,20000.0,0.1,,,,,,,,,,,PF_0000031
0.0,NORMAL_CODE,231.0,2016_죽향,2016-09-18 00:00:00,2017-09-17 00:00:00,B0004000000000000002,80400.0,,,,,,,,2.5,,0.0,,100.0,,,PF_0000032
,,377.0,2017-딸기,2017-09-10 00:00:00,2018-08-09 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000032
,,526.0,2018_딸기,2018-09-13 00:00:00,2019-05-23 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000032
,,2158.0,2019년_딸기(설향),2019-09-06 00:00:00,2020-05-31 00:00:00,,80400.0,1361.25,4500.0,42000.0,0.1,,,,,,,,,,,PF_0000032
,,3277.0,2020년_딸기,2020-09-10 00:00:00,2021-06-30 00:00:00,,80400.0,1361.25,4500.0,42000.0,0.1,,,,,,,,,,,PF_0000032
,,4704.0,2021년_딸기,2021-09-13 00:00:00,2022-05-30 00:00:00,,80400.0,1149.8,3801.0,7400.0,0.5,,,,,,,,,,,PF_0000032
0.0,NORMAL_CODE,34.0,716020151105,2015-11-05 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000034
,,201.0,17602016015,2016-06-15 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000034
0.0,NORMAL_CODE,298.0,티와이_2016,2016-10-08 00:00:00,2017-10-08 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000039
0.0,NORMAL_CODE,300.0,다볼_2016,2016-09-25 00:00:00,2017-09-25 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000040
0.0,NORMAL_CODE,297.0,데프니스_2016,2016-09-22 00:00:00,2017-09-22 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000042
0.0,NORMAL_CODE,296.0,메리바_2016,2016-08-26 00:00:00,2017-08-26 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000043
0.0,NORMAL_CODE,399.0,2017토마토,2016-08-20 00:00:00,2017-08-20 00:00:00,B0004000000000000002,80300.0,,,,,,,,,,,,180.0,,,PF_0000047
,,4587.0,겨울작기,2020-07-18 00:00:00,2021-07-15 00:00:00,,80300.0,2196.15,7260.0,19800.0,0.4,,,,,,,,,,,PF_0000047
0.0,NORMAL_CODE,438.0,2018년_볼란테,2018-08-03 00:00:00,2019-06-30 00:00:00,B0004000000000000002,132600.0,,,,,,,,,,,,,,,PF_0000048
0.0,NORMAL_CODE,460.0,2018년_설향,2018-09-14 00:00:00,2019-06-30 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PF_0000098
,,3600.0,2020년_딸기,2020-05-03 00:00:00,2021-04-30 00:00:00,,80400.0,800.0,2644.63,20000.0,0.1,,,,,,,,,,,PF_0000098
,,4813.0,2021년_딸기,2021-09-05 00:00:00,2022-04-30 00:00:00,,80400.0,800.0,2644.63,20000.0,0.1,,,,,,,,,,,PF_0000098
0.0,NORMAL_CODE,314.0,2016_마무리오,2016-11-22 00:00:00,2017-11-22 00:00:00,B0004000000000000002,80300.0,,,,,,,,,,,,,,,PF_0000099
,,363.0,2017_2작기_토마토,2017-07-15 00:00:00,2017-12-31 00:00:00,B0004000000000000002,80300.0,,,,,,,,,,,,,,,PF_0000099
,,3601.0,2020년_토마토,2020-07-05 00:00:00,2020-12-15 00:00:00,,80300.0,1200.0,3966.94,10000.0,0.4,,,,,,,,,,,PF_0000099
,,4076.0,2021-방울토마토,2020-12-20 00:00:00,2021-06-30 00:00:00,,80600.0,1200.0,3960.0,10500.0,2.65,,,,,,,,,,,PF_0000099
,,4812.0,2021년_방울토마토,2021-12-10 00:00:00,2022-06-20 00:00:00,,80600.0,1200.0,3966.94,10500.0,0.4,,,,,,,,,,,PF_0000099
0.0,NORMAL_CODE,,,,,,,,,,,,,,,,,,,,,PF_0000111
0.0,NORMAL_CODE,299.0,데프니스_2016,2016-08-28 00:00:00,2017-08-27 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000116
,,3379.0,2020년_토마토,2020-09-25 00:00:00,2021-05-31 00:00:00,,80300.0,16000.0,52892.56,10500.0,5.0,,,,,,,,,,,PF_0000116
0.0,NORMAL_CODE,362.0,2016_3국화,2017-08-08 00:00:00,2017-11-07 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000121
,,275.0,2016_보그,2016-12-06 00:00:00,2017-12-06 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,100.0,,,PF_0000121
,,347.0,2016_2작기_국화,2017-04-25 00:00:00,2017-07-24 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000121
,,397.0,16_4,2017-11-10 00:00:00,2018-02-09 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000121
0.0,NORMAL_CODE,276.0,2016_선그린,2016-11-10 00:00:00,2017-11-10 00:00:00,B0004000000000000002,inf,,,,,,,,,,,,100.0,,,PF_0000122
,,361.0,2017_3작기_국화,2017-07-27 00:00:00,2017-10-26 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000122
,,398.0,17_4작기,2017-11-26 00:00:00,2018-02-25 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000122
,,343.0,2016_2작기_국화,2017-04-02 00:00:00,2017-07-01 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000122
,,3424.0,2020년_국화,2020-01-01 00:00:00,2020-12-31 00:00:00,,inf,12000.0,39669.42,0.0,0.8,,,,,,,,,,,PF_0000122
0.0,NORMAL_CODE,317.0,2016_티와이트스트,2016-08-08 00:00:00,2017-08-08 00:00:00,B0004000000000000002,80300.0,,,,,,,,,,,,,,,PF_0000125
0.0,NORMAL_CODE,358.0,2017_나가노,2017-03-25 00:00:00,2018-03-25 00:00:00,B0004000000000000002,132600.0,,,,,,,,,,,,,,,PF_0000129
0.0,NORMAL_CODE,4527.0,2022년 파프리카 (볼리다노),2022-03-12 00:00:00,2022-11-30 00:00:00,,132600.0,1000.0,3300.0,9216.0,2.79,,,,,,,,,,,PF_0000131
,,5477.0,2022년 파프리카 (볼리다노) 조남헌,2022-03-12 00:00:00,2022-11-30 00:00:00,,132600.0,1000.0,3305.79,9216.0,0.4,,,,,,,,,,,PF_0000131
0.0,NORMAL_CODE,291.0,2017_03국화,2017-02-01 00:00:00,2017-10-01 00:00:00,B0004000000000000002,inf,,,,,,,,,,,,100.0,,,PF_0000139
,,348.0,2017_04국화,2017-06-02 00:00:00,2017-09-01 00:00:00,B0004000000000000002,inf,,,,,,,,,,,,,,,PF_0000139
,,383.0,17-5국화,2017-09-17 00:00:00,2018-01-15 00:00:00,B0004000000000000001,inf,,,,,,,,,,,,,,,PF_0000139
0.0,NORMAL_CODE,237.0,이종원,2016-08-17 00:00:00,2017-08-15 00:00:00,B0004000000000000002,132600.0,,,,2.73,,,,2.5,,0.0,,100.0,,,PF_0000145
,,2560.0,2019_파프리카,2019-10-01 00:00:00,2020-06-30 00:00:00,,132600.0,5989.5,19800.0,30000.0,0.7000000000000001,,,,,,,,,,,PF_0000145
,,3651.0,2020년_파프리카,2020-07-01 00:00:00,2021-06-30 00:00:00,,132600.0,6000.0,19834.71,60000.0,0.30000000000000004,,,,,,,,,,,PF_0000145
,,4849.0,2021년_파프리카,2021-08-15 00:00:00,2022-07-15 00:00:00,,132600.0,6000.0,19834.71,60000.0,0.30000000000000004,,,,,,,,,,,PF_0000145
0.0,NORMAL_CODE,252.0,2016_시로코,2016-10-20 00:00:00,2017-10-20 00:00:00,B0004000000000000002,132600.0,,,,2.73,,,,2.5,,0.0,,100.0,,,PF_0000168
0.0,NORMAL_CODE,262.0,2016_시로코,2016-08-17 00:00:00,2017-08-17 00:00:00,B0004000000000000002,132600.0,,,,2.73,,,,,,,,100.0,,,PF_0000184
,,389.0,2번째 생육조사 ,2017-09-20 00:00:00,2018-09-26 00:00:00,B0004000000000000002,132600.0,,,,,,,,,,,,,,,PF_0000184
0.0,NORMAL_CODE,292.0,데퍼니스_2016,2016-08-12 00:00:00,2017-08-12 00:00:00,B0004000000000000002,80300.0,,,,2.73,,,,,,,,100.0,,,PF_0000185
,,4564.0,2020년10월,2020-10-01 00:00:00,2021-06-30 00:00:00,,80300.0,2000.0,6611.57,30000.0,0.2,,,,,,,,,,,PF_0000185
