,항공사,출발시간,도착시간,비행시간,항공금액(원),할인꿀팁,시간대,카드사
58,티웨이항공,08:00,09:15,01시간 15분,76900,하나 신용/체크카드 결제시 3% 캐시백,08,하나 신용/체크카드 
59,티웨이항공,08:00,09:15,01시간 15분,132200,KB국민카드 결제시 4% 청구할인,08,KB국민카드 
60,진에어,08:00,09:10,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,08,삼성카드 
61,티웨이항공,08:00,09:15,01시간 15분,189200,KB국민카드 결제시 4% 청구할인,08,KB국민카드 
62,진에어,08:10,09:20,01시간 10분,78900,삼성카드 결제시 3.8% 캐시백,08,삼성카드 
63,대한항공,08:10,09:20,01시간 10분,121000,삼성카드 결제시 3% 캐시백,08,삼성카드 
64,진에어,08:10,09:20,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,08,삼성카드 
65,대한항공,08:10,09:20,01시간 10분,144000,없음,08,없음
66,진에어,08:10,09:20,01시간 10분,189000,KB국민카드 결제시 4% 청구할인,08,KB국민카드 
67,아시아나항공,08:20,09:35,01시간 15분,93000,삼성카드 결제시 3% 캐시백,08,삼성카드 
68,아시아나항공,08:20,09:35,01시간 15분,147000,삼성카드 결제시 3% 캐시백,08,삼성카드 
69,아시아나항공,08:30,09:40,01시간 10분,99000,삼성카드 결제시 3% 캐시백,08,삼성카드 
70,대한항공,08:30,09:40,01시간 10분,144000,삼성카드 결제시 3% 캐시백,08,삼성카드 
71,아시아나항공,08:30,09:40,01시간 10분,147000,삼성카드 결제시 3% 캐시백,08,삼성카드 
72,대한항공,08:35,09:45,01시간 10분,144000,삼성카드 결제시 3% 캐시백,08,삼성카드 
73,대한항공,08:55,10:05,01시간 10분,121500,KB국민카드 결제시 3% 청구할인,08,KB국민카드 
74,대한항공,08:55,10:05,01시간 10분,144000,삼성카드 결제시 3% 캐시백,08,삼성카드 
75,에어서울,09:00,10:00,01시간 00분,80900,KB국민카드 결제시 3% 청구할인,09,KB국민카드 
76,제주항공,09:00,10:10,01시간 10분,133500,삼성카드 결제시 3% 캐시백,09,삼성카드 
77,에어서울,09:00,10:00,01시간 00분,134000,삼성카드 결제시 3% 캐시백,09,삼성카드 
78,대한항공,09:00,10:10,01시간 10분,144000,삼성카드 결제시 3% 캐시백,09,삼성카드 
79,제주항공,09:25,10:35,01시간 10분,133500,삼성카드 결제시 3% 캐시백,09,삼성카드 
80,대한항공,09:30,10:40,01시간 10분,144000,삼성카드 결제시 3% 캐시백,09,삼성카드 
81,대한항공,09:30,10:40,01시간 10분,204000,삼성카드 결제시 3% 캐시백,09,삼성카드 
82,티웨이항공,09:45,10:55,01시간 10분,116100,KB국민카드 결제시 4% 청구할인,09,KB국민카드 
83,티웨이항공,09:45,10:55,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,09,KB국민카드 
