,지역,일시,발전량,년,월,계절
121,강원도,2017-05-02,606595.124,2017,05,봄
122,강원도,2017-05-03,683211.101,2017,05,봄
123,강원도,2017-05-04,543429.336,2017,05,봄
124,강원도,2017-05-05,614909.6089999999,2017,05,봄
125,강원도,2017-05-06,696390.456,2017,05,봄
126,강원도,2017-05-07,694696.053,2017,05,봄
127,강원도,2017-05-08,523352.57599999994,2017,05,봄
128,강원도,2017-05-09,236549.377,2017,05,봄
129,강원도,2017-05-10,240202.742,2017,05,봄
130,강원도,2017-05-11,428952.925,2017,05,봄
131,강원도,2017-05-12,231564.198,2017,05,봄
132,강원도,2017-05-13,410045.156,2017,05,봄
133,강원도,2017-05-14,735791.598,2017,05,봄
134,강원도,2017-05-15,418129.765,2017,05,봄
135,강원도,2017-05-16,488906.944,2017,05,봄
136,강원도,2017-05-17,584338.642,2017,05,봄
137,강원도,2017-05-18,644838.262,2017,05,봄
138,강원도,2017-05-19,712823.8420000001,2017,05,봄
139,강원도,2017-05-20,639613.491,2017,05,봄
140,강원도,2017-05-21,689506.087,2017,05,봄
141,강원도,2017-05-22,654726.555,2017,05,봄
142,강원도,2017-05-23,411475.412,2017,05,봄
143,강원도,2017-05-24,553290.989,2017,05,봄
144,강원도,2017-05-25,642134.061,2017,05,봄
145,강원도,2017-05-26,485447.337,2017,05,봄
146,강원도,2017-05-27,649249.153,2017,05,봄
147,강원도,2017-05-28,604351.263,2017,05,봄
148,강원도,2017-05-29,626180.601,2017,05,봄
149,강원도,2017-05-30,520549.196,2017,05,봄
150,강원도,2017-05-31,494906.757,2017,05,봄
151,강원도,2017-06-01,294274.243,2017,06,봄
152,강원도,2017-06-02,694299.119,2017,06,봄
153,강원도,2017-06-03,628603.571,2017,06,봄
154,강원도,2017-06-04,684110.5329999999,2017,06,봄
155,강원도,2017-06-05,718284.682,2017,06,봄
156,강원도,2017-06-06,269091.301,2017,06,봄
157,강원도,2017-06-07,104388.582,2017,06,봄
158,강원도,2017-06-08,630707.766,2017,06,봄
